sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP048759,Leucegene: AML sequencing (part 3),SRS718909,acute myeloid leukemia,SRX729583,SRR1608621
SRP048759,Leucegene: AML sequencing (part 3),SRS718909,acute myeloid leukemia,SRX729583,SRR1608622
SRP048759,Leucegene: AML sequencing (part 3),SRS718927,acute myeloid leukemia,SRX729601,SRR1608713
SRP048759,Leucegene: AML sequencing (part 3),SRS718927,acute myeloid leukemia,SRX729601,SRR1608714
SRP048759,Leucegene: AML sequencing (part 3),SRS718927,acute myeloid leukemia,SRX729601,SRR1608715
SRP048759,Leucegene: AML sequencing (part 3),SRS718907,acute myeloid leukemia,SRX729581,SRR1608613
SRP048759,Leucegene: AML sequencing (part 3),SRS718907,acute myeloid leukemia,SRX729581,SRR1608614
SRP048759,Leucegene: AML sequencing (part 3),SRS718907,acute myeloid leukemia,SRX729581,SRR1608615
SRP048759,Leucegene: AML sequencing (part 3),SRS718907,acute myeloid leukemia,SRX729581,SRR1608616
SRP048759,Leucegene: AML sequencing (part 3),SRS718907,acute myeloid leukemia,SRX729581,SRR1608617
SRP048759,Leucegene: AML sequencing (part 3),SRS718907,acute myeloid leukemia,SRX729581,SRR1608618
SRP048759,Leucegene: AML sequencing (part 3),SRS718910,acute myeloid leukemia,SRX729584,SRR1608623
SRP048759,Leucegene: AML sequencing (part 3),SRS718906,acute myeloid leukemia,SRX729580,SRR1608607
SRP048759,Leucegene: AML sequencing (part 3),SRS718906,acute myeloid leukemia,SRX729580,SRR1608608
SRP048759,Leucegene: AML sequencing (part 3),SRS718906,acute myeloid leukemia,SRX729580,SRR1608609
SRP048759,Leucegene: AML sequencing (part 3),SRS718906,acute myeloid leukemia,SRX729580,SRR1608610
SRP048759,Leucegene: AML sequencing (part 3),SRS718906,acute myeloid leukemia,SRX729580,SRR1608611
SRP048759,Leucegene: AML sequencing (part 3),SRS718906,acute myeloid leukemia,SRX729580,SRR1608612
SRP048759,Leucegene: AML sequencing (part 3),SRS718920,acute myeloid leukemia,SRX729593,SRR1608649
SRP048759,Leucegene: AML sequencing (part 3),SRS718920,acute myeloid leukemia,SRX729593,SRR1608650
SRP048759,Leucegene: AML sequencing (part 3),SRS718920,acute myeloid leukemia,SRX729593,SRR1608651
