sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302969,,SRX2942497,SRR5729006
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302981,,SRX2942530,SRR5729238
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302999,,SRX2942583,SRR5729603
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2303100,,SRX2942842,SRR5731078
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2303117,,SRX2942881,SRR5731261
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2303128,,SRX2942907,SRR5731450
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2303012,,SRX2942621,SRR5729866
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2303032,,SRX2942669,SRR5730123
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2303043,,SRX2942700,SRR5730258
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2303052,,SRX2942725,SRR5730453
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2303064,,SRX2942756,SRR5730549
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2303075,,SRX2942785,SRR5730689
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302773,,SRX2941997,SRR5726308
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302785,,SRX2942030,SRR5726451
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302795,,SRX2942062,SRR5726755
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302932,,SRX2942394,SRR5728455
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302945,,SRX2942431,SRR5728604
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302957,,SRX2942466,SRR5728774
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302838,,SRX2942130,SRR5726942
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302872,,SRX2942232,SRR5727487
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302887,,SRX2942270,SRR5727728
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302900,,SRX2942307,SRR5727964
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302910,,SRX2942334,SRR5728146
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302922,,SRX2942364,SRR5728303
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302757,,SRX2941973,SRR5726057
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302758,,SRX2941974,SRR5726058
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302759,,SRX2941975,SRR5726061
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302768,,SRX2941989,SRR5726103
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302769,,SRX2941990,SRR5726104
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302770,,SRX2941991,SRR5726105
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302762,,SRX2941978,SRR5726062
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302763,,SRX2941979,SRR5726093
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302764,,SRX2941985,SRR5726099
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302765,,SRX2941986,SRR5726100
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302766,,SRX2941987,SRR5726101
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302767,,SRX2941988,SRR5726102
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2301762,,SRX2940667,SRR5724692
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2301765,,SRX2940681,SRR5724693
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2301766,,SRX2940682,SRR5724694
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2301812,,SRX2940690,SRR5724702
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2301811,,SRX2940691,SRR5724703
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2301810,,SRX2940692,SRR5724704
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2301772,,SRX2940684,SRR5724696
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2301777,,SRX2940685,SRR5724697
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2301785,,SRX2940686,SRR5724698
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2301786,,SRX2940687,SRR5724699
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2301787,,SRX2940688,SRR5724700
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2301788,,SRX2940689,SRR5724701
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2302744,,SRX2941960,SRR5738924
SRP109992,Sox5/6/21 prevent oncogene driven transformation of brain stem cells,SRS2304529,,SRX2945006,SRR5738923
