sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
ERP001908,CIT_VADS_BW_OMICS,ERS183270,,ERX159478,ERR184094
ERP001908,CIT_VADS_BW_OMICS,ERS183256,,ERX159464,ERR184098
ERP001908,CIT_VADS_BW_OMICS,ERS183227,,ERX159435,ERR184039
ERP001908,CIT_VADS_BW_OMICS,ERS183262,,ERX159470,ERR184052
ERP001908,CIT_VADS_BW_OMICS,ERS183232,,ERX159440,ERR184084
ERP001908,CIT_VADS_BW_OMICS,ERS183229,,ERX159437,ERR184081
ERP001908,CIT_VADS_BW_OMICS,ERS183275,,ERX159483,ERR184048
ERP001908,CIT_VADS_BW_OMICS,ERS183265,,ERX159473,ERR184089
ERP001908,CIT_VADS_BW_OMICS,ERS183271,,ERX159479,ERR184058
ERP001908,CIT_VADS_BW_OMICS,ERS183244,,ERX159452,ERR184075
ERP001908,CIT_VADS_BW_OMICS,ERS183263,,ERX159471,ERR184070
ERP001908,CIT_VADS_BW_OMICS,ERS183259,,ERX159467,ERR184045
ERP001908,CIT_VADS_BW_OMICS,ERS183267,,ERX159475,ERR184038
ERP001908,CIT_VADS_BW_OMICS,ERS183218,,ERX159426,ERR184037
ERP001908,CIT_VADS_BW_OMICS,ERS183251,,ERX159459,ERR184047
ERP001908,CIT_VADS_BW_OMICS,ERS183248,,ERX159456,ERR184086
ERP001908,CIT_VADS_BW_OMICS,ERS183224,,ERX159432,ERR184057
ERP001908,CIT_VADS_BW_OMICS,ERS183269,,ERX159477,ERR184097
ERP001908,CIT_VADS_BW_OMICS,ERS183221,,ERX159429,ERR184065
ERP001908,CIT_VADS_BW_OMICS,ERS183217,,ERX159425,ERR184043
ERP001908,CIT_VADS_BW_OMICS,ERS183261,,ERX159469,ERR184056
ERP001908,CIT_VADS_BW_OMICS,ERS183228,,ERX159436,ERR184064
ERP001908,CIT_VADS_BW_OMICS,ERS183268,,ERX159476,ERR184087
ERP001908,CIT_VADS_BW_OMICS,ERS183273,,ERX159481,ERR184046
ERP001908,CIT_VADS_BW_OMICS,ERS183254,,ERX159462,ERR184073
ERP001908,CIT_VADS_BW_OMICS,ERS183249,,ERX159457,ERR184080
ERP001908,CIT_VADS_BW_OMICS,ERS183233,,ERX159441,ERR184068
ERP001908,CIT_VADS_BW_OMICS,ERS183243,,ERX159451,ERR184088
ERP001908,CIT_VADS_BW_OMICS,ERS183234,,ERX159442,ERR184067
ERP001908,CIT_VADS_BW_OMICS,ERS183241,,ERX159449,ERR184062
ERP001908,CIT_VADS_BW_OMICS,ERS183223,,ERX159431,ERR184040
ERP001908,CIT_VADS_BW_OMICS,ERS183237,,ERX159445,ERR184063
ERP001908,CIT_VADS_BW_OMICS,ERS183253,,ERX159461,ERR184072
