sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273332,PVTT,SRX1558067,SRR3140432
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273332,PVTT,SRX1558067,SRR3140433
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273332,PVTT,SRX1558067,SRR3140434
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273332,PVTT,SRX1558067,SRR3140435
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273332,PVTT,SRX1558067,SRR3140436
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273300,adjacent normal,SRX1558027,SRR3140239
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273300,adjacent normal,SRX1558027,SRR3140240
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273300,adjacent normal,SRX1558027,SRR3140241
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273300,adjacent normal,SRX1558027,SRR3140242
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273300,adjacent normal,SRX1558027,SRR3140243
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273352,primary tumor,SRX1558047,SRR3140336
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273352,primary tumor,SRX1558047,SRR3140337
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273352,primary tumor,SRX1558047,SRR3140338
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273352,primary tumor,SRX1558047,SRR3140339
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273352,primary tumor,SRX1558047,SRR3140340
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273318,PVTT,SRX1558081,SRR3140500
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273318,PVTT,SRX1558081,SRR3140501
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273318,PVTT,SRX1558081,SRR3140502
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273318,PVTT,SRX1558081,SRR3140503
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273358,adjacent normal,SRX1558041,SRR3140307
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273358,adjacent normal,SRX1558041,SRR3140308
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273358,adjacent normal,SRX1558041,SRR3140309
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273358,adjacent normal,SRX1558041,SRR3140310
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273337,primary tumor,SRX1558061,SRR3140404
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273337,primary tumor,SRX1558061,SRR3140405
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273337,primary tumor,SRX1558061,SRR3140406
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273337,primary tumor,SRX1558061,SRR3140407
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273331,PVTT,SRX1558068,SRR3140437
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273331,PVTT,SRX1558068,SRR3140438
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273331,PVTT,SRX1558068,SRR3140439
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273331,PVTT,SRX1558068,SRR3140440
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273331,PVTT,SRX1558068,SRR3140441
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273299,adjacent normal,SRX1558028,SRR3140244
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273299,adjacent normal,SRX1558028,SRR3140245
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273299,adjacent normal,SRX1558028,SRR3140246
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273299,adjacent normal,SRX1558028,SRR3140247
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273299,adjacent normal,SRX1558028,SRR3140248
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273351,primary tumor,SRX1558048,SRR3140341
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273351,primary tumor,SRX1558048,SRR3140342
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273351,primary tumor,SRX1558048,SRR3140343
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273351,primary tumor,SRX1558048,SRR3140344
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273351,primary tumor,SRX1558048,SRR3140345
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273323,PVTT,SRX1558076,SRR3140478
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273323,PVTT,SRX1558076,SRR3140479
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273323,PVTT,SRX1558076,SRR3140480
SRP069212,RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis,SRS1273323,PVTT,SRX1558076,SRR3140481
