sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332566,,SRX1622387,SRR3214850
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332569,,SRX1622385,SRR3214848
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332577,,SRX1622376,SRR3214839
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332574,,SRX1622378,SRR3214841
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332540,,SRX1622417,SRR3214880
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332578,,SRX1622375,SRR3214838
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332582,,SRX1622373,SRR3214836
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332554,,SRX1622402,SRR3214865
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332581,,SRX1622372,SRR3214835
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332583,,SRX1622371,SRR3214834
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332575,,SRX1622383,SRR3214846
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332548,,SRX1622407,SRR3214870
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332571,,SRX1622382,SRR3214845
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332585,,SRX1622370,SRR3214833
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332595,,SRX1622359,SRR3214822
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332587,,SRX1622367,SRR3214830
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332588,,SRX1622366,SRR3214829
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332527,,SRX1622429,SRR3214892
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332590,,SRX1622365,SRR3214828
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332550,,SRX1622405,SRR3214868
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332589,,SRX1622364,SRR3214827
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332608,,SRX1622345,SRR3214808
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332612,,SRX1622342,SRR3214805
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332579,,SRX1622384,SRR3214847
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332607,,SRX1622346,SRR3214809
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332603,,SRX1622353,SRR3214816
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332552,,SRX1622403,SRR3214866
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332605,,SRX1622349,SRR3214812
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332580,,SRX1622374,SRR3214837
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332601,,SRX1622352,SRR3214815
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332567,,SRX1622388,SRR3214851
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332610,,SRX1622343,SRR3214806
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332568,,SRX1622386,SRR3214849
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332556,,SRX1622397,SRR3214860
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332565,,SRX1622389,SRR3214852
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332600,,SRX1622350,SRR3214813
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332561,,SRX1622394,SRR3214857
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332557,,SRX1622399,SRR3214862
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332530,,SRX1622427,SRR3214890
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332570,,SRX1622392,SRR3214855
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332591,,SRX1622363,SRR3214826
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332559,,SRX1622396,SRR3214859
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332536,,SRX1622420,SRR3214883
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332562,,SRX1622395,SRR3214858
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332528,,SRX1622433,SRR3214896
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332555,,SRX1622400,SRR3214863
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332553,,SRX1622404,SRR3214867
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332522,,SRX1622435,SRR3214898
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332539,,SRX1622418,SRR3214881
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332534,,SRX1622423,SRR3214886
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332564,,SRX1622391,SRR3214854
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332526,,SRX1622430,SRR3214893
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332529,,SRX1622428,SRR3214891
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332531,,SRX1622426,SRR3214889
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332541,,SRX1622414,SRR3214877
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332549,,SRX1622406,SRR3214869
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332560,,SRX1622401,SRR3214864
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332592,,SRX1622361,SRR3214824
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332573,,SRX1622379,SRR3214842
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332563,,SRX1622393,SRR3214856
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332535,,SRX1622422,SRR3214885
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332593,,SRX1622362,SRR3214825
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332611,,SRX1622341,SRR3214804
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332317,,SRX1622390,SRR3214853
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332576,,SRX1622377,SRR3214840
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332598,,SRX1622356,SRR3214819
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332318,,SRX1622380,SRR3214843
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332586,,SRX1622368,SRR3214831
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332538,,SRX1622419,SRR3214882
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332597,,SRX1622357,SRR3214820
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332572,,SRX1622381,SRR3214844
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332604,,SRX1622354,SRR3214817
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332602,,SRX1622351,SRR3214814
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332613,,SRX1622339,SRR3214802
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332558,,SRX1622398,SRR3214861
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332314,,SRX1622347,SRR3214810
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332620,,SRX1622340,SRR3214803
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332609,,SRX1622344,SRR3214807
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332614,,SRX1622338,SRR3214801
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713692,Human lung,SRX2191164,SRR4296062
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713694,Human lung,SRX2191165,SRR4296063
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713701,Human lung,SRX2191174,SRR4296072
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713702,Human lung,SRX2191175,SRR4296073
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713706,Human lung,SRX2191178,SRR4296076
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713712,Human lung,SRX2191184,SRR4296082
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713707,Human lung,SRX2191179,SRR4296077
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713713,Human lung,SRX2191185,SRR4296083
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713742,Human lung,SRX2191214,SRR4296112
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713743,Human lung,SRX2191215,SRR4296113
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713718,Human lung,SRX2191190,SRR4296088
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713719,Human lung,SRX2191191,SRR4296089
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713720,Human lung,SRX2191192,SRR4296090
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713722,Human lung,SRX2191193,SRR4296091
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713739,Human lung,SRX2191212,SRR4296110
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713741,Human lung,SRX2191213,SRR4296111
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713716,Human lung,SRX2191188,SRR4296086
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713717,Human lung,SRX2191189,SRR4296087
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713703,Human lung,SRX2191172,SRR4296070
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713700,Human lung,SRX2191173,SRR4296071
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713727,Human lung,SRX2191198,SRR4296096
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713726,Human lung,SRX2191199,SRR4296097
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713710,Human lung,SRX2191180,SRR4296078
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713708,Human lung,SRX2191181,SRR4296079
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713715,Human lung,SRX2191186,SRR4296084
SRP090460,Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers,SRS1713714,Human lung,SRX2191187,SRR4296085
