sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366068,pancreatic adenocarcinoma cancer tissue,SRX1668081,SRR3308909
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366107,pancreatic adenocarcinoma cancer tissue,SRX1668093,SRR3308921
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366084,pancreatic adenocarcinoma cancer tissue,SRX1668065,SRR3308893
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366100,pancreatic adenocarcinoma cancer tissue,SRX1668101,SRR3308929
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366105,pancreatic adenocarcinoma cancer tissue,SRX1668096,SRR3308924
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366070,pancreatic adenocarcinoma cancer tissue,SRX1668079,SRR3308907
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366063,pancreatic adenocarcinoma cancer tissue,SRX1668086,SRR3308914
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366077,pancreatic adenocarcinoma cancer tissue,SRX1668072,SRR3308900
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366088,pancreatic adenocarcinoma cancer tissue,SRX1668061,SRR3308889
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366094,pancreatic adenocarcinoma cancer tissue,SRX1668056,SRR3308884
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366073,pancreatic adenocarcinoma cancer tissue,SRX1668076,SRR3308904
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366091,pancreatic adenocarcinoma cancer tissue,SRX1668060,SRR3308888
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366106,pancreatic adenocarcinoma cancer tissue,SRX1668094,SRR3308922
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366108,pancreatic adenocarcinoma cancer tissue,SRX1668092,SRR3308920
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366082,pancreatic adenocarcinoma cancer tissue,SRX1668067,SRR3308895
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366093,pancreatic adenocarcinoma cancer tissue,SRX1668055,SRR3308883
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366102,pancreatic adenocarcinoma cancer tissue,SRX1668099,SRR3308927
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366104,pancreatic adenocarcinoma cancer tissue,SRX1668097,SRR3308925
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366090,pancreatic adenocarcinoma cancer tissue,SRX1668058,SRR3308886
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366085,pancreatic adenocarcinoma cancer tissue,SRX1668064,SRR3308892
SRP072492,RNA-sequencing of human pancreatic adenocarcinoma cancer tissues,SRS1366074,pancreatic adenocarcinoma cancer tissue,SRX1668075,SRR3308903
