sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072361,"PDX, metastatic RCC_22",SRX1253689,SRR2431364
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072358,"PDX, metastatic RCC_25",SRX1253692,SRR2431367
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072364,"PDX, metastatic RCC_20",SRX1253687,SRR2431362
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072380,"PDX, metastatic RCC_3",SRX1253670,SRR2431345
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072368,"PDX, metastatic RCC_15",SRX1253682,SRR2431357
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072378,"PDX, metastatic RCC_5",SRX1253672,SRR2431347
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072363,"PDX, metastatic RCC_19",SRX1253686,SRR2431361
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072370,"PDX, metastatic RCC_14",SRX1253681,SRR2431356
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072369,"PDX, metastatic RCC_13",SRX1253680,SRR2431355
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072362,"PDX, metastatic RCC_21",SRX1253688,SRR2431363
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072346,"PDX, metastatic RCC_37",SRX1253704,SRR2431379
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072376,"PDX, metastatic RCC_7",SRX1253674,SRR2431349
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072373,"PDX, metastatic RCC_10",SRX1253677,SRR2431352
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072379,"PDX, metastatic RCC_4",SRX1253671,SRR2431346
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072350,"PDX, metastatic RCC_33",SRX1253700,SRR2431375
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072366,"PDX, metastatic RCC_17",SRX1253684,SRR2431359
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072365,"PDX, metastatic RCC_18",SRX1253685,SRR2431360
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072375,"PDX, metastatic RCC_8",SRX1253675,SRR2431350
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072356,"PDX, metastatic RCC_27",SRX1253694,SRR2431369
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072355,"PDX, metastatic RCC_28",SRX1253695,SRR2431370
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072353,"PDX, metastatic RCC_29",SRX1253696,SRR2431371
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072347,"PDX, metastatic RCC_36",SRX1253703,SRR2431378
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072348,"PDX, metastatic RCC_34",SRX1253701,SRR2431376
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072351,"PDX, metastatic RCC_32",SRX1253699,SRR2431374
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072374,"PDX, metastatic RCC_9",SRX1253676,SRR2431351
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072354,"PDX, metastatic RCC_31",SRX1253698,SRR2431373
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072381,"PDX, metastatic RCC_2",SRX1253669,SRR2431344
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072382,"PDX, metastatic RCC_1",SRX1253668,SRR2431343
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072352,"PDX, metastatic RCC_30",SRX1253697,SRR2431372
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072360,"PDX, metastatic RCC_23",SRX1253690,SRR2431365
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072371,"PDX, metastatic RCC_12",SRX1253679,SRR2431354
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072372,"PDX, metastatic RCC_11",SRX1253678,SRR2431353
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072349,"PDX, metastatic RCC_35",SRX1253702,SRR2431377
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072367,"PDX, metastatic RCC_16",SRX1253683,SRR2431358
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072359,"PDX, metastatic RCC_24",SRX1253691,SRR2431366
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072377,"PDX, metastatic RCC_6",SRX1253673,SRR2431348
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072357,"PDX, metastatic RCC_26",SRX1253693,SRR2431368
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072302,"PDX, primary RCC_44",SRX1253748,SRR2431423
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072312,"PDX, primary RCC_34",SRX1253738,SRR2431413
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072334,"PDX, primary RCC_12",SRX1253716,SRR2431391
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072318,"PDX, primary RCC_28",SRX1253732,SRR2431407
SRP063840,Single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [RNA-seq],SRS1072331,"PDX, primary RCC_15",SRX1253719,SRR2431394
