sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934192,,SRX1024925,SRR2018230
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934183,,SRX1024891,SRR2018202
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934123,,SRX1024728,SRR2018037
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934174,,SRX1024838,SRR2018145
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934196,,SRX1024931,SRR2018235
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934190,,SRX1024924,SRR2018227
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934201,,SRX1024949,SRR2018254
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934791,,SRX1025539,SRR2018844
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934794,,SRX1025542,SRR2018848
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934796,,SRX1025544,SRR2018850
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS961869,,SRX1059611,SRR2064077
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934783,,SRX1025530,SRR2018835
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934787,,SRX1025535,SRR2018840
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934789,,SRX1025538,SRR2018842
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934489,,SRX1025527,SRR2018832
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934193,,SRX1024928,SRR2018231
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934194,,SRX1024929,SRR2018232
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934197,,SRX1024943,SRR2018247
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934200,,SRX1024945,SRR2018253
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934785,,SRX1025533,SRR2018837
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934202,,SRX1024950,SRR2018255
SRP057793,RNA-seq performed on sarcomas to identify various alterations,SRS934788,,SRX1025536,SRR2018841
