sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP042184,A specific missense mutation in GTF2I occurs at high frequency in thymic epithelial tumors,SRS618266,Thymoma,SRX550529,SRR1296018
SRP042184,A specific missense mutation in GTF2I occurs at high frequency in thymic epithelial tumors,SRS618267,Thymoma,SRX550530,SRR1296019
SRP042184,A specific missense mutation in GTF2I occurs at high frequency in thymic epithelial tumors,SRS618259,Thymoma,SRX550523,SRR1296011
SRP042184,A specific missense mutation in GTF2I occurs at high frequency in thymic epithelial tumors,SRS618268,Thymoma,SRX550531,SRR1296020
SRP042184,A specific missense mutation in GTF2I occurs at high frequency in thymic epithelial tumors,SRS618274,Thymoma,SRX550537,SRR1296026
SRP042184,A specific missense mutation in GTF2I occurs at high frequency in thymic epithelial tumors,SRS618279,Thymoma,SRX550542,SRR1296031
SRP042184,A specific missense mutation in GTF2I occurs at high frequency in thymic epithelial tumors,SRS618265,Thymoma,SRX550528,SRR1296017
SRP042184,A specific missense mutation in GTF2I occurs at high frequency in thymic epithelial tumors,SRS618260,Thymoma,SRX550522,SRR1296023
SRP042184,A specific missense mutation in GTF2I occurs at high frequency in thymic epithelial tumors,SRS618262,Thymoma,SRX550526,SRR1296015
SRP042184,A specific missense mutation in GTF2I occurs at high frequency in thymic epithelial tumors,SRS618264,Thymoma,SRX550527,SRR1296016
SRP042184,A specific missense mutation in GTF2I occurs at high frequency in thymic epithelial tumors,SRS618273,Thymoma,SRX550536,SRR1296025
SRP042184,A specific missense mutation in GTF2I occurs at high frequency in thymic epithelial tumors,SRS618269,Thymoma,SRX550532,SRR1296021
SRP042184,A specific missense mutation in GTF2I occurs at high frequency in thymic epithelial tumors,SRS618272,Thymoma,SRX550535,SRR1296024
SRP042184,A specific missense mutation in GTF2I occurs at high frequency in thymic epithelial tumors,SRS618271,Thymoma,SRX550534,SRR1296012
SRP042184,A specific missense mutation in GTF2I occurs at high frequency in thymic epithelial tumors,SRS618277,Thymoma,SRX550540,SRR1296029
SRP048907,CSER: Exploring Precision Cancer Medicine for Sarcoma and Rare Cancers,SRS1740177,,SRX1909206,SRR4306252
SRP048907,CSER: Exploring Precision Cancer Medicine for Sarcoma and Rare Cancers,SRS1740179,,SRX1909207,SRR4306253
SRP071557,The Landscape of Antisense Gene Expression in Human Cancers,SRS1332440,,SRX1622523,SRR3214986
