sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP036821,Distinct expression profiles of soft tissue sarcomas,SRS553954,ESS,SRX466191,SRR1163254
SRP036821,Distinct expression profiles of soft tissue sarcomas,SRS553948,ESS,SRX466186,SRR1163249
SRP036821,Distinct expression profiles of soft tissue sarcomas,SRS553952,ESS,SRX466189,SRR1163252
SRP036821,Distinct expression profiles of soft tissue sarcomas,SRS553953,ESS,SRX466190,SRR1163253
SRP036821,Distinct expression profiles of soft tissue sarcomas,SRS553959,ESS,SRX466196,SRR1163259
SRP036821,Distinct expression profiles of soft tissue sarcomas,SRS553956,ESS,SRX466193,SRR1163256
SRP036821,Distinct expression profiles of soft tissue sarcomas,SRS553958,ESS,SRX466195,SRR1163258
SRP036821,Distinct expression profiles of soft tissue sarcomas,SRS553955,ESS,SRX466192,SRR1163255
SRP036821,Distinct expression profiles of soft tissue sarcomas,SRS553957,ESS,SRX466194,SRR1163257
SRP036821,Distinct expression profiles of soft tissue sarcomas,SRS553947,ESS,SRX466184,SRR1163247
SRP036821,Distinct expression profiles of soft tissue sarcomas,SRS553946,ESS,SRX466183,SRR1163246
SRP036821,Distinct expression profiles of soft tissue sarcomas,SRS553951,ESS,SRX466188,SRR1163251
SRP036821,Distinct expression profiles of soft tissue sarcomas,SRS553950,ESS,SRX466187,SRR1163250
SRP036821,Distinct expression profiles of soft tissue sarcomas,SRS553949,ESS,SRX466185,SRR1163248
SRP090779,RNA-seq in endometrial stromal tumors,SRS1725830,ESS high grade,SRX2208467,SRR4341389
SRP090779,RNA-seq in endometrial stromal tumors,SRS1725831,ESS high grade,SRX2208468,SRR4341390
SRP090779,RNA-seq in endometrial stromal tumors,SRS1725832,ESS high grade,SRX2208469,SRR4341391
SRP090779,RNA-seq in endometrial stromal tumors,SRS1725836,ESS low grade,SRX2208473,SRR4341395
SRP090779,RNA-seq in endometrial stromal tumors,SRS1725835,ESS low grade,SRX2208472,SRR4341394
SRP090779,RNA-seq in endometrial stromal tumors,SRS1725840,ESS low grade,SRX2208477,SRR4341399
SRP090779,RNA-seq in endometrial stromal tumors,SRS1725838,ESS low grade,SRX2208476,SRR4341398
SRP090779,RNA-seq in endometrial stromal tumors,SRS1725834,ESS low grade,SRX2208471,SRR4341393
SRP090779,RNA-seq in endometrial stromal tumors,SRS1725839,ESS low grade,SRX2208474,SRR4341396
SRP090779,RNA-seq in endometrial stromal tumors,SRS1725837,ESS low grade,SRX2208475,SRR4341397
SRP090779,RNA-seq in endometrial stromal tumors,SRS1725833,ESS low grade,SRX2208470,SRR4341392
SRP006575,Transcriptional profiling of lncRNAs and novel transcribed regions across a diverse panel of archived human cancers,SRS190730,Endometrial stromal sarcoma,SRX059665,SRR191678
SRP006575,Transcriptional profiling of lncRNAs and novel transcribed regions across a diverse panel of archived human cancers,SRS190732,Endometrial stromal sarcoma,SRX059667,SRR191681
SRP006575,Transcriptional profiling of lncRNAs and novel transcribed regions across a diverse panel of archived human cancers,SRS190728,Endometrial stromal sarcoma,SRX059663,SRR191674
SRP006575,Transcriptional profiling of lncRNAs and novel transcribed regions across a diverse panel of archived human cancers,SRS190728,Endometrial stromal sarcoma,SRX059663,SRR191675
SRP006575,Transcriptional profiling of lncRNAs and novel transcribed regions across a diverse panel of archived human cancers,SRS190729,Endometrial stromal sarcoma,SRX059664,SRR191676
SRP006575,Transcriptional profiling of lncRNAs and novel transcribed regions across a diverse panel of archived human cancers,SRS190729,Endometrial stromal sarcoma,SRX059664,SRR191677
SRP006575,Transcriptional profiling of lncRNAs and novel transcribed regions across a diverse panel of archived human cancers,SRS190731,Endometrial stromal sarcoma,SRX059666,SRR191679
SRP006575,Transcriptional profiling of lncRNAs and novel transcribed regions across a diverse panel of archived human cancers,SRS190731,Endometrial stromal sarcoma,SRX059666,SRR191680
