sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS625454,,SRX2088398,SRR4489629
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS625454,,SRX562537,SRR1318920
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS624027,,SRX2088316,SRR4489696
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS624027,,SRX559152,SRR1311935
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS525262,,SRX2288232,SRR4490709
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS525262,,SRX416159,SRR1091254
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS644485,,SRX2288331,SRR4491688
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS644485,,SRX617713,SRR1441998
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS650073,,SRX2088742,SRR4490200
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS650073,,SRX640060,SRR1498354
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS639446,,SRX2288017,SRR4490925
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS639446,,SRX606946,SRR1418856
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS644754,,SRX2088328,SRR4489719
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS644754,,SRX619985,SRR1447715
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS408236,,SRX2089189,SRR4490620
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS408236,,SRX260157,SRR809470
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS637283,,SRX2088897,SRR4490051
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS637283,,SRX597513,SRR1394474
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS408381,,SRX2089195,SRR4490614
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS408381,,SRX260635,SRR812673
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS636246,,SRX2288456,SRR4491550
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS636246,,SRX594957,SRR1388935
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS636053,,SRX2288637,SRR4491370
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS636053,,SRX594086,SRR1386730
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS528012,,SRX2288105,SRR4490837
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS528012,,SRX424302,SRR1105463
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS639518,,SRX2088823,SRR4490159
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS639518,,SRX607587,SRR1420432
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS635316,,SRX2088659,SRR4489365
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS635316,,SRX592662,SRR1384258
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS635177,,SRX2288287,SRR4491719
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS635177,,SRX592155,SRR1383000
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS644668,,SRX2088782,SRR4490165
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS644668,,SRX619213,SRR1445856
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS631288,,SRX2288432,SRR4491578
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS631288,,SRX583195,SRR1365963
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS629755,,SRX2088455,SRR4489571
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS629755,,SRX578983,SRR1356266
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS408347,,SRX2089154,SRR4490654
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS408347,,SRX260491,SRR811819
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS526001,,SRX2287458,SRR4490406
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS526001,,SRX418767,SRR1095840
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS634563,,SRX2088690,SRR4489333
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS634563,,SRX590559,SRR1379324
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS524984,,SRX2089207,SRR4490470
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS524984,,SRX413915,SRR1086820
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS629702,,SRX2088468,SRR4489567
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS629702,,SRX578655,SRR1355415
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS650140,,SRX2288005,SRR4490937
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS650140,,SRX640692,SRR1499849
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS629553,,SRX2287968,SRR4490974
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS629553,,SRX577741,SRR1353028
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS524561,,SRX2287675,SRR4491266
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS524561,,SRX408967,SRR1077090
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS628804,,SRX2088665,SRR4489351
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS628804,,SRX574719,SRR1345715
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS628792,,SRX2088850,SRR4490097
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS628792,,SRX574605,SRR1345454
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS628789,,SRX2088250,SRR4489789
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS628789,,SRX574578,SRR1345390
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS627821,,SRX2288368,SRR4491638
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS627821,,SRX571926,SRR1339597
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS525028,,SRX2287531,SRR4490325
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS525028,,SRX414447,SRR1087875
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS627429,,SRX2287902,SRR4491038
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS627429,,SRX570072,SRR1335113
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS525079,,SRX2089279,SRR4490530
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS525079,,SRX414642,SRR1088217
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS627157,,SRX2088694,SRR4490253
SRP012682,Genotype-Tissue Expression (GTEx) Common Fund Project,SRS627157,,SRX568912,SRR1332694
