sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1341477,,SRX1636944,SRR3231123
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1341480,,SRX1636941,SRR3231120
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1341460,,SRX1636963,SRR3231142
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1341479,,SRX1636942,SRR3231121
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1341488,,SRX1636932,SRR3231111
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1341464,,SRX1636959,SRR3231138
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1341496,,SRX1636924,SRR3231103
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1341497,,SRX1636923,SRR3231102
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1341490,,SRX1636930,SRR3231109
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1341523,,SRX1636897,SRR3231076
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1341484,,SRX1636937,SRR3231116
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1655832,,SRX2064400,SRR4094185
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1655832,,SRX2064400,SRR5897064
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1341498,,SRX1636922,SRR3231101
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1655843,,SRX2064411,SRR4094196
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1655843,,SRX2064411,SRR5897075
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1341482,,SRX1636939,SRR3231118
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1341521,,SRX1636896,SRR3231075
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1341499,,SRX1636921,SRR3231100
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1341500,,SRX1636919,SRR3231098
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1341501,,SRX1636918,SRR3231097
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1341528,,SRX1636889,SRR3231068
SRP052738,Single Cell Analysis Program-Transcriptomics (SCAP-T) (Penn site),SRS1341515,,SRX1636903,SRR3231082
