sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349372,,ERX315711,ERR342901
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349354,,ERX315693,ERR342809
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349353,,ERX315692,ERR342876
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349319,,ERX315658,ERR342896
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349328,,ERX315667,ERR342824
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349369,,ERX315708,ERR342861
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349389,,ERX315728,ERR342842
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349393,,ERX315732,ERR342812
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349364,,ERX315703,ERR342891
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349381,,ERX315720,ERR342847
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349382,,ERX315721,ERR342855
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349397,,ERX315736,ERR342895
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349404,,ERX315743,ERR342838
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349405,,ERX315744,ERR342882
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349332,,ERX315671,ERR342829
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349379,,ERX315718,ERR342877
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349346,,ERX315685,ERR342823
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349414,,ERX315753,ERR342887
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349388,,ERX315727,ERR342892
ERP003917,Identification of putative target genes of the transcription factor RUNX2,ERS349339,,ERX315678,ERR342903
