sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060357,Old Woman + Estrogen,SRX1207734,SRR2305504
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060368,Old Woman,SRX1207722,SRR2305486
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060342,Old Woman + Estrogen,SRX1207749,SRR2305519
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060360,Old Woman,SRX1207731,SRR2305500
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060362,Old Woman,SRX1207729,SRR2305497
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060358,Old Woman + Estrogen,SRX1207733,SRR2305503
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060352,Old Woman + Estrogen,SRX1207740,SRR2305510
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060364,Old Woman,SRX1207727,SRR2305494
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060356,Old Woman + Estrogen,SRX1207735,SRR2305505
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060354,Old Woman + Estrogen,SRX1207738,SRR2305508
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060366,Old Woman,SRX1207725,SRR2305491
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060346,Old Woman + Estrogen,SRX1207745,SRR2305515
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060363,Old Woman,SRX1207728,SRR2305495
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060365,Old Woman,SRX1207726,SRR2305492
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060369,Old Woman,SRX1207723,SRR2305488
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060367,Old Woman,SRX1207724,SRR2305489
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060378,Old Woman,SRX1207713,SRR2305472
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060350,Old Woman + Estrogen,SRX1207741,SRR2305511
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060353,Old Woman + Estrogen,SRX1207737,SRR2305507
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060349,Old Woman + Estrogen,SRX1207742,SRR2305512
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060347,Old Woman + Estrogen,SRX1207744,SRR2305514
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060348,Old Woman + Estrogen,SRX1207743,SRR2305513
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060351,Old Woman + Estrogen,SRX1207739,SRR2305509
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060341,Old Woman + Estrogen,SRX1207750,SRR2305520
SRP063477,Effects of Age and Estrogen on Skeletal Gene Expression in Humans as Assessed by RNA Sequencing,SRS1060340,Old Woman + Estrogen,SRX1207751,SRR2305521
