sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP007461,GSE30567: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,SRS241967,HeLa-S3,SRX084682,SRR315334
SRP007461,GSE30567: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,SRS241967,HeLa-S3,SRX084682,SRR315335
SRP007461,GSE30567: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,SRS241966,HeLa-S3,SRX084681,SRR315332
SRP007461,GSE30567: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,SRS241966,HeLa-S3,SRX084681,SRR315333
SRP007461,GSE30567: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,SRS242509,HeLa-S3,SRX085298,SRR317050
SRP007461,GSE30567: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,SRS242509,HeLa-S3,SRX085298,SRR317051
SRP007461,GSE30567: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,SRS242508,HeLa-S3,SRX085297,SRR317048
SRP007461,GSE30567: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,SRS242508,HeLa-S3,SRX085297,SRR317049
SRP007461,GSE30567: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,SRS242499,HeLa-S3,SRX085288,SRR317035
SRP007461,GSE30567: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,SRS241965,HeLa-S3,SRX084680,SRR315330
SRP007461,GSE30567: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,SRS241965,HeLa-S3,SRX084680,SRR315331
SRP009862,GSE34448: RNA Subcellular CAGE Localization from ENCODE/RIKEN,SRS282696,HeLa-S3,SRX111940,SRR390499
SRP009862,GSE34448: RNA Subcellular CAGE Localization from ENCODE/RIKEN,SRS282696,HeLa-S3,SRX111940,SRR390500
SRP009862,GSE34448: RNA Subcellular CAGE Localization from ENCODE/RIKEN,SRS282685,HeLa-S3,SRX111929,SRR390482
SRP009862,GSE34448: RNA Subcellular CAGE Localization from ENCODE/RIKEN,SRS282685,HeLa-S3,SRX111929,SRR390483
SRP009862,GSE34448: RNA Subcellular CAGE Localization from ENCODE/RIKEN,SRS282684,HeLa-S3,SRX111928,SRR390480
SRP009862,GSE34448: RNA Subcellular CAGE Localization from ENCODE/RIKEN,SRS282684,HeLa-S3,SRX111928,SRR390481
