sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP059775,C1 analysis using mixtures of human (HEK) and mouse (3T3) cells,SRS969176,HEK and 3T3 mix,SRX1069858,SRR2074825
SRP059775,C1 analysis using mixtures of human (HEK) and mouse (3T3) cells,SRS969177,HEK and 3T3 mix,SRX1069857,SRR2074824
SRP059775,C1 analysis using mixtures of human (HEK) and mouse (3T3) cells,SRS968964,HEK and 3T3 mix,SRX1069939,SRR2074906
SRP059775,C1 analysis using mixtures of human (HEK) and mouse (3T3) cells,SRS969182,HEK and 3T3 mix,SRX1069852,SRR2074819
SRP059775,C1 analysis using mixtures of human (HEK) and mouse (3T3) cells,SRS969118,HEK and 3T3 mix,SRX1069912,SRR2074879
SRP059775,C1 analysis using mixtures of human (HEK) and mouse (3T3) cells,SRS969101,HEK and 3T3 mix,SRX1069929,SRR2074896
SRP059775,C1 analysis using mixtures of human (HEK) and mouse (3T3) cells,SRS969184,HEK and 3T3 mix,SRX1069851,SRR2074818
SRP059775,C1 analysis using mixtures of human (HEK) and mouse (3T3) cells,SRS969211,HEK and 3T3 mix,SRX1069825,SRR2074792
SRP059775,C1 analysis using mixtures of human (HEK) and mouse (3T3) cells,SRS969114,HEK and 3T3 mix,SRX1069916,SRR2074883
SRP059775,C1 analysis using mixtures of human (HEK) and mouse (3T3) cells,SRS969186,HEK and 3T3 mix,SRX1069848,SRR2074815
SRP059775,C1 analysis using mixtures of human (HEK) and mouse (3T3) cells,SRS969122,HEK and 3T3 mix,SRX1069908,SRR2074875
SRP059775,C1 analysis using mixtures of human (HEK) and mouse (3T3) cells,SRS969187,HEK and 3T3 mix,SRX1069847,SRR2074814
SRP059775,C1 analysis using mixtures of human (HEK) and mouse (3T3) cells,SRS969252,HEK and 3T3 mix,SRX1069784,SRR2074751
SRP059775,C1 analysis using mixtures of human (HEK) and mouse (3T3) cells,SRS969261,HEK and 3T3 mix,SRX1069775,SRR2074742
SRP059775,C1 analysis using mixtures of human (HEK) and mouse (3T3) cells,SRS969189,HEK and 3T3 mix,SRX1069846,SRR2074813
SRP059775,C1 analysis using mixtures of human (HEK) and mouse (3T3) cells,SRS969192,HEK and 3T3 mix,SRX1069844,SRR2074811
SRP059775,C1 analysis using mixtures of human (HEK) and mouse (3T3) cells,SRS969253,HEK and 3T3 mix,SRX1069782,SRR2074749
