sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789628,,ERX2068930,ERR2009167
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789625,,ERX2068927,ERR2009164
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789622,,ERX2068924,ERR2009161
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789629,,ERX2068931,ERR2009168
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789621,,ERX2068923,ERR2009160
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789626,,ERX2068928,ERR2009165
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789620,,ERX2068922,ERR2009159
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789623,,ERX2068925,ERR2009162
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789630,,ERX2068932,ERR2009169
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789619,,ERX2068921,ERR2009158
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789627,,ERX2068929,ERR2009166
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789624,,ERX2068926,ERR2009163
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789594,,ERX2068896,ERR2009133
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789593,,ERX2068895,ERR2009132
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789600,,ERX2068902,ERR2009139
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789605,,ERX2068907,ERR2009144
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789597,,ERX2068899,ERR2009136
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789616,,ERX2068918,ERR2009155
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789596,,ERX2068898,ERR2009135
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789591,,ERX2068893,ERR2009130
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789618,,ERX2068920,ERR2009157
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789589,,ERX2068891,ERR2009128
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789595,,ERX2068897,ERR2009134
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789579,,ERX2068881,ERR2009118
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789588,,ERX2068890,ERR2009127
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789608,,ERX2068910,ERR2009147
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789583,,ERX2068885,ERR2009122
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789580,,ERX2068882,ERR2009119
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789609,,ERX2068911,ERR2009148
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789577,,ERX2068879,ERR2009116
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789592,,ERX2068894,ERR2009131
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789578,,ERX2068880,ERR2009117
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789602,,ERX2068904,ERR2009141
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789604,,ERX2068906,ERR2009143
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789585,,ERX2068887,ERR2009124
ERP023550,RNA-seq of human intestinal organoids colonized with E. coli and other immature intestinal tissues,ERS1789598,,ERX2068900,ERR2009137
