sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184263,fetal human cortex 1,SRX1457149,SRR2967703
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184262,fetal human cortex 1,SRX1457148,SRR2967702
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184265,fetal human cortex 1,SRX1457146,SRR2967700
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184267,fetal human cortex 1,SRX1457145,SRR2967699
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184266,fetal human cortex 1,SRX1457144,SRR2967698
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184271,fetal human cortex 1,SRX1457140,SRR2967694
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184274,fetal human cortex 1,SRX1457137,SRR2967691
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184275,fetal human cortex 1,SRX1457136,SRR2967690
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184241,fetal human cortex 1,SRX1457170,SRR2967724
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184215,fetal human cortex 1,SRX1457201,SRR2967755
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184277,fetal human cortex 1,SRX1457133,SRR2967687
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184280,fetal human cortex 1,SRX1457130,SRR2967684
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184332,fetal human cortex 1,SRX1457075,SRR2967629
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184255,fetal human cortex 1,SRX1457156,SRR2967710
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184282,fetal human cortex 1,SRX1457128,SRR2967682
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184285,fetal human cortex 1,SRX1457125,SRR2967679
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184288,fetal human cortex 1,SRX1457123,SRR2967677
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184289,fetal human cortex 1,SRX1457121,SRR2967675
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184261,fetal human cortex 1,SRX1457150,SRR2967704
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184290,fetal human cortex 1,SRX1457119,SRR2967673
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184284,fetal human cortex 1,SRX1457126,SRR2967680
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184243,fetal human cortex 1,SRX1457169,SRR2967723
SRP066834,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,SRS1184202,fetal human cortex 1,SRX1457212,SRR2967766
