sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512774,normal lung donor #2,SRX1858475,SRR3695589
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512761,normal lung donor #2,SRX1858462,SRR3695576
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512772,normal lung donor #2,SRX1858473,SRR3695587
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512771,normal lung donor #2,SRX1858472,SRR3695586
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512768,normal lung donor #2,SRX1858469,SRR3695583
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512764,normal lung donor #2,SRX1858465,SRR3695579
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512762,normal lung donor #2,SRX1858463,SRR3695577
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512789,normal lung donor #2,SRX1858490,SRR3695604
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512766,normal lung donor #2,SRX1858467,SRR3695581
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512757,normal lung donor #2,SRX1858458,SRR3695572
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512759,normal lung donor #2,SRX1858460,SRR3695574
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512781,normal lung donor #2,SRX1858482,SRR3695596
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512758,normal lung donor #2,SRX1858459,SRR3695573
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512731,normal lung donor #2,SRX1858432,SRR3695546
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512773,normal lung donor #2,SRX1858474,SRR3695588
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512740,normal lung donor #2,SRX1858441,SRR3695555
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512777,normal lung donor #2,SRX1858478,SRR3695592
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512783,normal lung donor #2,SRX1858484,SRR3695598
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512756,normal lung donor #2,SRX1858457,SRR3695571
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512743,normal lung donor #2,SRX1858444,SRR3695558
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512755,normal lung donor #2,SRX1858456,SRR3695570
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512753,normal lung donor #2,SRX1858454,SRR3695568
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512792,normal lung donor #2,SRX1858493,SRR3695607
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512765,normal lung donor #2,SRX1858466,SRR3695580
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512770,normal lung donor #2,SRX1858471,SRR3695585
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512752,normal lung donor #2,SRX1858453,SRR3695567
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512747,normal lung donor #2,SRX1858448,SRR3695562
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512751,normal lung donor #2,SRX1858452,SRR3695566
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512748,normal lung donor #2,SRX1858449,SRR3695563
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512776,normal lung donor #2,SRX1858477,SRR3695591
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512732,normal lung donor #2,SRX1858433,SRR3695547
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512780,normal lung donor #2,SRX1858480,SRR3695594
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512784,normal lung donor #2,SRX1858485,SRR3695599
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512779,normal lung donor #2,SRX1858481,SRR3695595
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512796,normal lung donor #2,SRX1858497,SRR3695611
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512798,normal lung donor #2,SRX1858499,SRR3695613
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512799,normal lung donor #2,SRX1858500,SRR3695614
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512790,normal lung donor #2,SRX1858491,SRR3695605
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512733,normal lung donor #2,SRX1858434,SRR3695548
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512738,normal lung donor #2,SRX1858439,SRR3695553
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512800,normal lung donor #2,SRX1858501,SRR3695615
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512729,normal lung donor #2,SRX1858430,SRR3695544
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512735,normal lung donor #2,SRX1858436,SRR3695550
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512763,normal lung donor #2,SRX1858464,SRR3695578
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512778,normal lung donor #2,SRX1858479,SRR3695593
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512788,normal lung donor #2,SRX1858489,SRR3695603
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512794,normal lung donor #2,SRX1858495,SRR3695609
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512791,normal lung donor #2,SRX1858492,SRR3695606
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512797,normal lung donor #2,SRX1858498,SRR3695612
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512775,normal lung donor #2,SRX1858476,SRR3695590
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512787,normal lung donor #2,SRX1858488,SRR3695602
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512785,normal lung donor #2,SRX1858486,SRR3695600
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512745,normal lung donor #2,SRX1858446,SRR3695560
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512749,normal lung donor #2,SRX1858450,SRR3695564
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512746,normal lung donor #2,SRX1858447,SRR3695561
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512769,normal lung donor #2,SRX1858470,SRR3695584
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512786,normal lung donor #2,SRX1858487,SRR3695601
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512760,normal lung donor #2,SRX1858461,SRR3695575
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512750,normal lung donor #2,SRX1858451,SRR3695565
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512744,normal lung donor #2,SRX1858445,SRR3695559
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512742,normal lung donor #2,SRX1858443,SRR3695557
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512734,normal lung donor #2,SRX1858435,SRR3695549
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512793,normal lung donor #2,SRX1858494,SRR3695608
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512741,normal lung donor #2,SRX1858442,SRR3695556
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512736,normal lung donor #2,SRX1858437,SRR3695551
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512782,normal lung donor #2,SRX1858483,SRR3695597
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512739,normal lung donor #2,SRX1858440,SRR3695554
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512767,normal lung donor #2,SRX1858468,SRR3695582
SRP076780,Human Single Cells - Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,SRS1512754,normal lung donor #2,SRX1858455,SRR3695569
