sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437925,"airway basal cells, nonsmoker",SRX297203,SRR886574
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437925,"airway basal cells, nonsmoker",SRX297203,SRR886575
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437925,"airway basal cells, nonsmoker",SRX297203,SRR886576
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437923,"airway basal cells, nonsmoker",SRX297201,SRR886568
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437923,"airway basal cells, nonsmoker",SRX297201,SRR886569
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437923,"airway basal cells, nonsmoker",SRX297201,SRR886570
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437924,"airway basal cells, nonsmoker",SRX297202,SRR886571
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437924,"airway basal cells, nonsmoker",SRX297202,SRR886572
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437924,"airway basal cells, nonsmoker",SRX297202,SRR886573
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437927,"airway basal cells, nonsmoker",SRX297205,SRR886580
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437927,"airway basal cells, nonsmoker",SRX297205,SRR886581
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437927,"airway basal cells, nonsmoker",SRX297205,SRR886582
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437931,"airway basal cells, nonsmoker",SRX297209,SRR886592
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437931,"airway basal cells, nonsmoker",SRX297209,SRR886593
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437931,"airway basal cells, nonsmoker",SRX297209,SRR886594
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437929,"airway basal cells, nonsmoker",SRX297207,SRR886586
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437929,"airway basal cells, nonsmoker",SRX297207,SRR886587
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437929,"airway basal cells, nonsmoker",SRX297207,SRR886588
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437928,"airway basal cells, nonsmoker",SRX297206,SRR886583
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437928,"airway basal cells, nonsmoker",SRX297206,SRR886584
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437928,"airway basal cells, nonsmoker",SRX297206,SRR886585
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437922,"airway basal cells, nonsmoker",SRX297200,SRR886565
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437922,"airway basal cells, nonsmoker",SRX297200,SRR886566
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437922,"airway basal cells, nonsmoker",SRX297200,SRR886567
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437930,"airway basal cells, nonsmoker",SRX297208,SRR886589
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437930,"airway basal cells, nonsmoker",SRX297208,SRR886590
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437930,"airway basal cells, nonsmoker",SRX297208,SRR886591
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437926,"airway basal cells, nonsmoker",SRX297204,SRR886577
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437926,"airway basal cells, nonsmoker",SRX297204,SRR886578
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437926,"airway basal cells, nonsmoker",SRX297204,SRR886579
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437935,"airway basal cells, smoker",SRX297213,SRR886605
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437935,"airway basal cells, smoker",SRX297213,SRR886606
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437935,"airway basal cells, smoker",SRX297213,SRR886607
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437934,"airway basal cells, smoker",SRX297212,SRR886602
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437934,"airway basal cells, smoker",SRX297212,SRR886603
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437934,"airway basal cells, smoker",SRX297212,SRR886604
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437932,"airway basal cells, smoker",SRX297210,SRR886595
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437932,"airway basal cells, smoker",SRX297210,SRR886596
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437932,"airway basal cells, smoker",SRX297210,SRR886597
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437938,"airway basal cells, smoker",SRX297216,SRR886614
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437938,"airway basal cells, smoker",SRX297216,SRR886615
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437938,"airway basal cells, smoker",SRX297216,SRR886616
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437936,"airway basal cells, smoker",SRX297214,SRR886608
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437936,"airway basal cells, smoker",SRX297214,SRR886609
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437936,"airway basal cells, smoker",SRX297214,SRR886610
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437937,"airway basal cells, smoker",SRX297215,SRR886611
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437937,"airway basal cells, smoker",SRX297215,SRR886612
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437937,"airway basal cells, smoker",SRX297215,SRR886613
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437933,"airway basal cells, smoker",SRX297211,SRR886598
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437933,"airway basal cells, smoker",SRX297211,SRR886599
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437933,"airway basal cells, smoker",SRX297211,SRR886600
SRP024274,Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2,SRS437933,"airway basal cells, smoker",SRX297211,SRR886601
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228934,"airway basal cells, nonsmoker",SRX1508445,SRR3066488
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228934,"airway basal cells, nonsmoker",SRX1508445,SRR3066489
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228934,"airway basal cells, nonsmoker",SRX1508445,SRR3066490
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228929,"airway basal cells, nonsmoker",SRX1508450,SRR3066503
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228929,"airway basal cells, nonsmoker",SRX1508450,SRR3066504
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228929,"airway basal cells, nonsmoker",SRX1508450,SRR3066505
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228932,"airway basal cells, nonsmoker",SRX1508447,SRR3066494
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228932,"airway basal cells, nonsmoker",SRX1508447,SRR3066495
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228932,"airway basal cells, nonsmoker",SRX1508447,SRR3066496
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228933,"airway basal cells, nonsmoker",SRX1508446,SRR3066491
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228933,"airway basal cells, nonsmoker",SRX1508446,SRR3066492
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228933,"airway basal cells, nonsmoker",SRX1508446,SRR3066493
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228935,"airway basal cells, nonsmoker",SRX1508444,SRR3066485
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228935,"airway basal cells, nonsmoker",SRX1508444,SRR3066486
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228935,"airway basal cells, nonsmoker",SRX1508444,SRR3066487
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228931,"airway basal cells, nonsmoker",SRX1508448,SRR3066497
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228931,"airway basal cells, nonsmoker",SRX1508448,SRR3066498
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228931,"airway basal cells, nonsmoker",SRX1508448,SRR3066499
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228928,"airway basal cells, nonsmoker",SRX1508451,SRR3066506
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228928,"airway basal cells, nonsmoker",SRX1508451,SRR3066507
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228928,"airway basal cells, nonsmoker",SRX1508451,SRR3066508
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228926,"airway basal cells, nonsmoker",SRX1508453,SRR3066512
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228926,"airway basal cells, nonsmoker",SRX1508453,SRR3066513
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228926,"airway basal cells, nonsmoker",SRX1508453,SRR3066514
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228927,"airway basal cells, nonsmoker",SRX1508452,SRR3066509
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228927,"airway basal cells, nonsmoker",SRX1508452,SRR3066510
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228927,"airway basal cells, nonsmoker",SRX1508452,SRR3066511
