sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP069088,Live single-cell laser tag,SRS1272742,,SRX1555501,SRR3136917
SRP069088,Live single-cell laser tag,SRS1271317,,SRX1555654,SRR3137160
SRP069088,Live single-cell laser tag,SRS1272574,,SRX1557182,SRR3138902
SRP069088,Live single-cell laser tag,SRS1269954,,SRX1554091,SRR3135202
SRP069088,Live single-cell laser tag,SRS1269955,,SRX1554092,SRR3135241
SRP069088,Live single-cell laser tag,SRS1271220,,SRX1555493,SRR3136915
SRP069088,Live single-cell laser tag,SRS1272737,,SRX1555498,SRR3136916
SRP069088,Live single-cell laser tag,SRS1271332,,SRX1555657,SRR3137161
SRP069088,Live single-cell laser tag,SRS1271333,,SRX1555660,SRR3137167
SRP069088,Live single-cell laser tag,SRS1271348,,SRX1555665,SRR3137171
SRP069088,Live single-cell laser tag,SRS1271368,,SRX1555670,SRR3137176
SRP069088,Live single-cell laser tag,SRS1271223,,SRX1555674,SRR3137179
SRP069088,Live single-cell laser tag,SRS1271246,,SRX1555678,SRR3137183
SRP069088,Live single-cell laser tag,SRS1271259,,SRX1555680,SRR3137184
SRP069088,Live single-cell laser tag,SRS1272266,,SRX1556844,SRR3138282
SRP069088,Live single-cell laser tag,SRS1272267,,SRX1556845,SRR3138283
SRP069088,Live single-cell laser tag,SRS1272268,,SRX1556846,SRR3138285
SRP069088,Live single-cell laser tag,SRS1272269,,SRX1556847,SRR3138294
SRP069088,Live single-cell laser tag,SRS1272569,,SRX1557177,SRR3138874
SRP069088,Live single-cell laser tag,SRS1272568,,SRX1557176,SRR3138869
SRP069088,Live single-cell laser tag,SRS1272570,,SRX1557178,SRR3138875
SRP069088,Live single-cell laser tag,SRS1272571,,SRX1557179,SRR3138876
SRP069088,Live single-cell laser tag,SRS1272572,,SRX1557180,SRR3138878
SRP069088,Live single-cell laser tag,SRS1272573,,SRX1557181,SRR3138901
SRP083013,RNA-Seq analysis of 4N and 2N RPE1 cells following polyploid induction via cytokinesis failure or Aurora kinase inhibition [tpo3],SRS1647912,RPE1_cytD_2n,SRX2055868,SRR4069100
SRP083013,RNA-Seq analysis of 4N and 2N RPE1 cells following polyploid induction via cytokinesis failure or Aurora kinase inhibition [tpo3],SRS1647910,RPE1_cytD_2n,SRX2055870,SRR4069102
SRP083013,RNA-Seq analysis of 4N and 2N RPE1 cells following polyploid induction via cytokinesis failure or Aurora kinase inhibition [tpo3],SRS1647907,RPE1_cytD_2n,SRX2055872,SRR4069104
SRP083013,RNA-Seq analysis of 4N and 2N RPE1 cells following polyploid induction via cytokinesis failure or Aurora kinase inhibition [tpo3],SRS1647909,RPE1_cytD_4n,SRX2055869,SRR4069101
SRP083013,RNA-Seq analysis of 4N and 2N RPE1 cells following polyploid induction via cytokinesis failure or Aurora kinase inhibition [tpo3],SRS1647920,RPE1_cytD_4n,SRX2055871,SRR4069103
