sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP065126,Study of Human Developmental Neurogenesis,SRS1358484,,SRX1658422,SRR3287901
SRP065126,Study of Human Developmental Neurogenesis,SRS1358523,,SRX1658383,SRR3287862
SRP065126,Study of Human Developmental Neurogenesis,SRS1358524,,SRX1658381,SRR3287860
SRP065126,Study of Human Developmental Neurogenesis,SRS1358500,,SRX1658406,SRR3287885
SRP065126,Study of Human Developmental Neurogenesis,SRS1358525,,SRX1658380,SRR3287859
SRP065126,Study of Human Developmental Neurogenesis,SRS1358543,,SRX1658364,SRR3287843
SRP065126,Study of Human Developmental Neurogenesis,SRS1358527,,SRX1658379,SRR3287858
SRP065126,Study of Human Developmental Neurogenesis,SRS1358528,,SRX1658378,SRR3287857
SRP065126,Study of Human Developmental Neurogenesis,SRS1358546,,SRX1658360,SRR3287839
SRP065126,Study of Human Developmental Neurogenesis,SRS1358529,,SRX1658377,SRR3287856
SRP065126,Study of Human Developmental Neurogenesis,SRS1358532,,SRX1658374,SRR3287853
SRP065126,Study of Human Developmental Neurogenesis,SRS1358564,,SRX1658342,SRR3287821
SRP065126,Study of Human Developmental Neurogenesis,SRS1358533,,SRX1658373,SRR3287852
SRP065126,Study of Human Developmental Neurogenesis,SRS1358540,,SRX1658366,SRR3287845
SRP065126,Study of Human Developmental Neurogenesis,SRS1358537,,SRX1658369,SRR3287848
SRP065126,Study of Human Developmental Neurogenesis,SRS1358534,,SRX1658371,SRR3287850
SRP065126,Study of Human Developmental Neurogenesis,SRS1358536,,SRX1658370,SRR3287849
SRP065126,Study of Human Developmental Neurogenesis,SRS1358538,,SRX1658368,SRR3287847
SRP065126,Study of Human Developmental Neurogenesis,SRS1358559,,SRX1658347,SRR3287826
SRP065126,Study of Human Developmental Neurogenesis,SRS1358542,,SRX1658363,SRR3287842
SRP065126,Study of Human Developmental Neurogenesis,SRS1358544,,SRX1658362,SRR3287841
SRP065126,Study of Human Developmental Neurogenesis,SRS1358496,,SRX1658410,SRR3287889
SRP065126,Study of Human Developmental Neurogenesis,SRS1358483,,SRX1658425,SRR3287904
SRP065126,Study of Human Developmental Neurogenesis,SRS1358557,,SRX1658348,SRR3287827
SRP065126,Study of Human Developmental Neurogenesis,SRS1358499,,SRX1658407,SRR3287886
