sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP090143,Transcriptional response of human endocervical epithelial A2EN cells to infection with wild-type or CpoS-deficient Chlamydia trachomatis L2/434/Bu,SRS1703741,endocervical epithelial cell line (A2EN cells),SRX2177417,SRR4263965
SRP090143,Transcriptional response of human endocervical epithelial A2EN cells to infection with wild-type or CpoS-deficient Chlamydia trachomatis L2/434/Bu,SRS1703744,endocervical epithelial cell line (A2EN cells),SRX2177419,SRR4263967
SRP090143,Transcriptional response of human endocervical epithelial A2EN cells to infection with wild-type or CpoS-deficient Chlamydia trachomatis L2/434/Bu,SRS1703743,endocervical epithelial cell line (A2EN cells),SRX2177418,SRR4263966
SRP090143,Transcriptional response of human endocervical epithelial A2EN cells to infection with wild-type or CpoS-deficient Chlamydia trachomatis L2/434/Bu,SRS1703738,endocervical epithelial cell line (A2EN cells),SRX2177414,SRR4263962
SRP090143,Transcriptional response of human endocervical epithelial A2EN cells to infection with wild-type or CpoS-deficient Chlamydia trachomatis L2/434/Bu,SRS1703739,endocervical epithelial cell line (A2EN cells),SRX2177415,SRR4263963
SRP090143,Transcriptional response of human endocervical epithelial A2EN cells to infection with wild-type or CpoS-deficient Chlamydia trachomatis L2/434/Bu,SRS1703740,endocervical epithelial cell line (A2EN cells),SRX2177416,SRR4263964
SRP090143,Transcriptional response of human endocervical epithelial A2EN cells to infection with wild-type or CpoS-deficient Chlamydia trachomatis L2/434/Bu,SRS1703736,endocervical epithelial cell line (A2EN cells),SRX2177411,SRR4263959
SRP090143,Transcriptional response of human endocervical epithelial A2EN cells to infection with wild-type or CpoS-deficient Chlamydia trachomatis L2/434/Bu,SRS1703742,endocervical epithelial cell line (A2EN cells),SRX2177412,SRR4263960
SRP090143,Transcriptional response of human endocervical epithelial A2EN cells to infection with wild-type or CpoS-deficient Chlamydia trachomatis L2/434/Bu,SRS1703737,endocervical epithelial cell line (A2EN cells),SRX2177413,SRR4263961
SRP090143,Transcriptional response of human endocervical epithelial A2EN cells to infection with wild-type or CpoS-deficient Chlamydia trachomatis L2/434/Bu,SRS1703732,endocervical epithelial cell line (A2EN cells),SRX2177408,SRR4263956
SRP090143,Transcriptional response of human endocervical epithelial A2EN cells to infection with wild-type or CpoS-deficient Chlamydia trachomatis L2/434/Bu,SRS1703733,endocervical epithelial cell line (A2EN cells),SRX2177409,SRR4263957
SRP090143,Transcriptional response of human endocervical epithelial A2EN cells to infection with wild-type or CpoS-deficient Chlamydia trachomatis L2/434/Bu,SRS1703735,endocervical epithelial cell line (A2EN cells),SRX2177410,SRR4263958
SRP090143,Transcriptional response of human endocervical epithelial A2EN cells to infection with wild-type or CpoS-deficient Chlamydia trachomatis L2/434/Bu,SRS1703730,endocervical epithelial cell line (A2EN cells),SRX2177405,SRR4263953
SRP090143,Transcriptional response of human endocervical epithelial A2EN cells to infection with wild-type or CpoS-deficient Chlamydia trachomatis L2/434/Bu,SRS1703731,endocervical epithelial cell line (A2EN cells),SRX2177406,SRR4263954
SRP090143,Transcriptional response of human endocervical epithelial A2EN cells to infection with wild-type or CpoS-deficient Chlamydia trachomatis L2/434/Bu,SRS1703734,endocervical epithelial cell line (A2EN cells),SRX2177407,SRR4263955
SRP090143,Transcriptional response of human endocervical epithelial A2EN cells to infection with wild-type or CpoS-deficient Chlamydia trachomatis L2/434/Bu,SRS1703727,endocervical epithelial cell line (A2EN cells),SRX2177402,SRR4263950
SRP090143,Transcriptional response of human endocervical epithelial A2EN cells to infection with wild-type or CpoS-deficient Chlamydia trachomatis L2/434/Bu,SRS1703728,endocervical epithelial cell line (A2EN cells),SRX2177403,SRR4263951
SRP090143,Transcriptional response of human endocervical epithelial A2EN cells to infection with wild-type or CpoS-deficient Chlamydia trachomatis L2/434/Bu,SRS1703729,endocervical epithelial cell line (A2EN cells),SRX2177404,SRR4263952
SRP076260,Epigenomic remodeling of the PAX8 cistrome in high grade serous ovarian cancer [RNA-Seq],SRS1491122,cell line,SRX1829810,SRR3646669
SRP076260,Epigenomic remodeling of the PAX8 cistrome in high grade serous ovarian cancer [RNA-Seq],SRS1491123,cell line,SRX1829811,SRR3646670
SRP076260,Epigenomic remodeling of the PAX8 cistrome in high grade serous ovarian cancer [RNA-Seq],SRS1491124,cell line,SRX1829812,SRR3646671
