sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP082567,"Large-Scale Atlas of Mutant IDH1-Dependent Chromatin State Reprogramming, Reversibility, and Persistence [RNA-seq]",SRS1633084,immortalized human astrocytes,SRX2039653,SRR4049021
SRP082567,"Large-Scale Atlas of Mutant IDH1-Dependent Chromatin State Reprogramming, Reversibility, and Persistence [RNA-seq]",SRS1633078,immortalized human astrocytes,SRX2039647,SRR4049015
SRP082567,"Large-Scale Atlas of Mutant IDH1-Dependent Chromatin State Reprogramming, Reversibility, and Persistence [RNA-seq]",SRS1633083,immortalized human astrocytes,SRX2039652,SRR4049020
SRP082567,"Large-Scale Atlas of Mutant IDH1-Dependent Chromatin State Reprogramming, Reversibility, and Persistence [RNA-seq]",SRS1633080,immortalized human astrocytes,SRX2039649,SRR4049017
SRP082567,"Large-Scale Atlas of Mutant IDH1-Dependent Chromatin State Reprogramming, Reversibility, and Persistence [RNA-seq]",SRS1633079,immortalized human astrocytes,SRX2039648,SRR4049016
SRP082567,"Large-Scale Atlas of Mutant IDH1-Dependent Chromatin State Reprogramming, Reversibility, and Persistence [RNA-seq]",SRS1633085,immortalized human astrocytes,SRX2039654,SRR4049022
SRP082567,"Large-Scale Atlas of Mutant IDH1-Dependent Chromatin State Reprogramming, Reversibility, and Persistence [RNA-seq]",SRS1633082,immortalized human astrocytes,SRX2039651,SRR4049019
SRP082567,"Large-Scale Atlas of Mutant IDH1-Dependent Chromatin State Reprogramming, Reversibility, and Persistence [RNA-seq]",SRS1633075,immortalized human astrocytes,SRX2039644,SRR4049012
SRP082567,"Large-Scale Atlas of Mutant IDH1-Dependent Chromatin State Reprogramming, Reversibility, and Persistence [RNA-seq]",SRS1633081,immortalized human astrocytes,SRX2039650,SRR4049018
SRP082567,"Large-Scale Atlas of Mutant IDH1-Dependent Chromatin State Reprogramming, Reversibility, and Persistence [RNA-seq]",SRS1633077,immortalized human astrocytes,SRX2039646,SRR4049014
SRP082567,"Large-Scale Atlas of Mutant IDH1-Dependent Chromatin State Reprogramming, Reversibility, and Persistence [RNA-seq]",SRS1633074,immortalized human astrocytes,SRX2039643,SRR4049011
SRP082567,"Large-Scale Atlas of Mutant IDH1-Dependent Chromatin State Reprogramming, Reversibility, and Persistence [RNA-seq]",SRS1633076,immortalized human astrocytes,SRX2039645,SRR4049013
SRP057196,A survey of human brain transcriptome diversity at the single cell level,SRS910389,Brain,SRX996113,SRR1974795
SRP057196,A survey of human brain transcriptome diversity at the single cell level,SRS910394,Brain,SRX996108,SRR1974790
SRP057196,A survey of human brain transcriptome diversity at the single cell level,SRS910387,Brain,SRX996115,SRR1974797
SRP057196,A survey of human brain transcriptome diversity at the single cell level,SRS910388,Brain,SRX996114,SRR1974796
SRP057196,A survey of human brain transcriptome diversity at the single cell level,SRS910393,Brain,SRX996109,SRR1974791
SRP057196,A survey of human brain transcriptome diversity at the single cell level,SRS910392,Brain,SRX996110,SRR1974792
SRP108875,Progressive  motor  neuron  pathology  and  the  role  of  astrocytes  in  a  human  stem  cell model of VCP-related ALS [terminally differentiated iPSC-derived astrocytes],SRS2264691,astrocytes,SRX2897246,SRR5661637
SRP108875,Progressive  motor  neuron  pathology  and  the  role  of  astrocytes  in  a  human  stem  cell model of VCP-related ALS [terminally differentiated iPSC-derived astrocytes],SRS2264693,astrocytes,SRX2897248,SRR5661639
SRP108875,Progressive  motor  neuron  pathology  and  the  role  of  astrocytes  in  a  human  stem  cell model of VCP-related ALS [terminally differentiated iPSC-derived astrocytes],SRS2264692,astrocytes,SRX2897247,SRR5661638
SRP108875,Progressive  motor  neuron  pathology  and  the  role  of  astrocytes  in  a  human  stem  cell model of VCP-related ALS [terminally differentiated iPSC-derived astrocytes],SRS2264695,astrocytes,SRX2897249,SRR5661640
SRP064454,RNA-Seq of human astrocytes,SRS1098729,Hippocampus,SRX1303804,SRR2557105
SRP064454,RNA-Seq of human astrocytes,SRS1098727,Hippocampus,SRX1303805,SRR2557106
SRP064454,RNA-Seq of human astrocytes,SRS1098728,Hippocampus,SRX1303806,SRR2557107
SRP064454,RNA-Seq of human astrocytes,SRS1098726,Hippocampus,SRX1303807,SRR2557108
SRP103841,Generation of pure GABAergic neurons by transcription factor programming,SRS2121976,cultured cells,SRX2734081,SRR5445050
SRP103841,Generation of pure GABAergic neurons by transcription factor programming,SRS2121977,cultured cells,SRX2734082,SRR5445051
