sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278543,human cortical spheroid-derived cell,SRX2912237,SRR5676737
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279002,human cortical spheroid-derived cell,SRX2912705,SRR5677205
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279081,human cortical spheroid-derived cell,SRX2912785,SRR5677285
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279159,human cortical spheroid-derived cell,SRX2912864,SRR5677364
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278598,human cortical spheroid-derived cell,SRX2912302,SRR5676802
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278657,human cortical spheroid-derived cell,SRX2912359,SRR5676859
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278587,human cortical spheroid-derived cell,SRX2912292,SRR5676792
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2279097,human cortical spheroid-derived cell,SRX2912801,SRR5677301
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278981,human cortical spheroid-derived cell,SRX2912686,SRR5677186
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278870,human cortical spheroid-derived cell,SRX2912575,SRR5677075
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278570,human cortical spheroid-derived cell,SRX2912275,SRR5676775
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278548,human cortical spheroid-derived cell,SRX2912252,SRR5676752
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278581,human cortical spheroid-derived cell,SRX2912285,SRR5676785
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278560,human cortical spheroid-derived cell,SRX2912264,SRR5676764
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278538,human cortical spheroid-derived cell,SRX2912243,SRR5676743
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278551,human cortical spheroid-derived cell,SRX2912255,SRR5676755
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278585,human cortical spheroid-derived cell,SRX2912289,SRR5676789
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278593,human cortical spheroid-derived cell,SRX2912296,SRR5676796
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278573,human cortical spheroid-derived cell,SRX2912277,SRR5676777
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278588,human cortical spheroid-derived cell,SRX2912291,SRR5676791
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278575,human cortical spheroid-derived cell,SRX2912279,SRR5676779
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278556,human cortical spheroid-derived cell,SRX2912260,SRR5676760
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278594,human cortical spheroid-derived cell,SRX2912298,SRR5676798
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278554,human cortical spheroid-derived cell,SRX2912258,SRR5676758
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278531,human cortical spheroid-derived cell,SRX2912235,SRR5676735
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278559,human cortical spheroid-derived cell,SRX2912263,SRR5676763
SRP109040,Maturation of Human iPSC-derived Astrocytes in 3D Cortical Spheroids,SRS2278526,human cortical spheroid-derived cell,SRX2912230,SRR5676730
