sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP096986,Sub-population RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.,SRS1927934,cultured embryonic stem cells,SRX2501553,SRR5185531
SRP096986,Sub-population RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.,SRS1927907,cultured embryonic stem cells,SRX2501526,SRR5185504
SRP096986,Sub-population RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.,SRS1927910,cultured embryonic stem cells,SRX2501529,SRR5185507
SRP096986,Sub-population RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.,SRS1927936,cultured embryonic stem cells,SRX2501556,SRR5185534
SRP096986,Sub-population RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.,SRS1927909,cultured embryonic stem cells,SRX2501528,SRR5185506
SRP096986,Sub-population RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.,SRS1927937,cultured embryonic stem cells,SRX2501555,SRR5185533
SRP096986,Sub-population RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.,SRS1927940,cultured embryonic stem cells,SRX2501560,SRR5185538
SRP096986,Sub-population RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.,SRS1927939,cultured embryonic stem cells,SRX2501558,SRR5185536
SRP096986,Sub-population RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.,SRS1927941,cultured embryonic stem cells,SRX2501559,SRR5185537
SRP096986,Sub-population RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.,SRS1927938,cultured embryonic stem cells,SRX2501557,SRR5185535
