sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754020,,ERX993405,ERR914281
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754020,,ERX993441,ERR914317
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754028,,ERX993413,ERR914289
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754028,,ERX993449,ERR914325
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS781763,,ERX1025946,ERR946961
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS781763,,ERX1025951,ERR946966
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754049,,ERX993434,ERR914310
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754049,,ERX993470,ERR914346
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754037,,ERX993422,ERR914298
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754037,,ERX993458,ERR914334
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754032,,ERX993417,ERR914293
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754032,,ERX993453,ERR914329
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754023,,ERX993408,ERR914284
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754023,,ERX993444,ERR914320
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754025,,ERX993410,ERR914286
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754025,,ERX993446,ERR914322
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754051,,ERX993436,ERR914312
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754051,,ERX993472,ERR914348
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754033,,ERX993418,ERR914294
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754033,,ERX993454,ERR914330
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754045,,ERX993430,ERR914306
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754045,,ERX993466,ERR914342
ERP007111,HipSci___RNAseq___healthy_volunteers,ERS754043,,ERX993428,ERR914304
