sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121023,"Pancreatic islet, beta cell",SRX2733125,SRR5443817
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121007,"Pancreatic islet, beta cell",SRX2733109,SRR5443801
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121005,"Pancreatic islet, beta cell",SRX2733108,SRR5443800
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121040,"Pancreatic islet, beta cell",SRX2733142,SRR5443834
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121022,"Pancreatic islet, beta cell",SRX2733124,SRR5443816
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121015,"Pancreatic islet, beta cell",SRX2733118,SRR5443810
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121026,"Pancreatic islet, beta cell",SRX2733129,SRR5443821
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121006,"Pancreatic islet, beta cell",SRX2733107,SRR5443799
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121033,"Pancreatic islet, beta cell",SRX2733136,SRR5443828
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121019,"Pancreatic islet, beta cell",SRX2733121,SRR5443813
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2120998,"Pancreatic islet, beta cell",SRX2733101,SRR5443793
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121032,"Pancreatic islet, beta cell",SRX2733134,SRR5443826
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121001,"Pancreatic islet, beta cell",SRX2733103,SRR5443795
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121038,"Pancreatic islet, beta cell",SRX2733139,SRR5443831
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121042,"Pancreatic islet, beta cell",SRX2733144,SRR5443836
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121053,"Pancreatic islet, beta cell",SRX2733155,SRR5443847
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121050,"Pancreatic islet, beta cell",SRX2733152,SRR5443844
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121012,"Pancreatic islet, beta cell",SRX2733114,SRR5443806
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121046,"Pancreatic islet, beta cell",SRX2733148,SRR5443840
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121044,"Pancreatic islet, beta cell",SRX2733145,SRR5443837
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121004,"Pancreatic islet, beta cell",SRX2733105,SRR5443797
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121036,"Pancreatic islet, beta cell",SRX2733138,SRR5443830
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121013,"Pancreatic islet, beta cell",SRX2733116,SRR5443808
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121018,"Pancreatic islet, beta cell",SRX2733120,SRR5443812
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121029,"Pancreatic islet, beta cell",SRX2733131,SRR5443823
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121035,"Pancreatic islet, beta cell",SRX2733137,SRR5443829
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121020,"Pancreatic islet, beta cell",SRX2733122,SRR5443814
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121003,"Pancreatic islet, beta cell",SRX2733106,SRR5443798
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121000,"Pancreatic islet, beta cell",SRX2733102,SRR5443794
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121025,"Pancreatic islet, beta cell",SRX2733127,SRR5443819
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121052,"Pancreatic islet, beta cell",SRX2733154,SRR5443846
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2120999,"Pancreatic islet, beta cell",SRX2733100,SRR5443792
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121091,"Pancreatic islet, beta cell",SRX2733193,SRR5443885
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121086,"Pancreatic islet, beta cell",SRX2733188,SRR5443880
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121084,"Pancreatic islet, beta cell",SRX2733186,SRR5443878
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121069,"Pancreatic islet, beta cell",SRX2733171,SRR5443863
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121083,"Pancreatic islet, beta cell",SRX2733185,SRR5443877
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121095,"Pancreatic islet, beta cell",SRX2733197,SRR5443889
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121101,"Pancreatic islet, beta cell",SRX2733204,SRR5443896
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121094,"Pancreatic islet, beta cell",SRX2733196,SRR5443888
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121092,"Pancreatic islet, beta cell",SRX2733194,SRR5443886
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121080,"Pancreatic islet, beta cell",SRX2733181,SRR5443873
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121076,"Pancreatic islet, beta cell",SRX2733178,SRR5443870
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121066,"Pancreatic islet, beta cell",SRX2733168,SRR5443860
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121070,"Pancreatic islet, beta cell",SRX2733172,SRR5443864
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121100,"Pancreatic islet, beta cell",SRX2733202,SRR5443894
SRP103811,Single-cell transcriptomics of East-Asian pancreatic islets cells,SRS2121105,"Pancreatic islet, beta cell",SRX2733203,SRR5443895
