sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830328,Peripheral Blood Mononuclear Cells,SRX2388427,SRR5068510
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830329,Peripheral Blood Mononuclear Cells,SRX2388428,SRR5068511
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830331,Peripheral Blood Mononuclear Cells,SRX2388429,SRR5068512
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830332,Peripheral Blood Mononuclear Cells,SRX2388430,SRR5068513
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830330,Peripheral Blood Mononuclear Cells,SRX2388431,SRR5068514
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830333,Peripheral Blood Mononuclear Cells,SRX2388432,SRR5068515
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830334,Peripheral Blood Mononuclear Cells,SRX2388433,SRR5068516
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830335,Peripheral Blood Mononuclear Cells,SRX2388434,SRR5068517
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830336,Peripheral Blood Mononuclear Cells,SRX2388435,SRR5068518
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830337,Peripheral Blood Mononuclear Cells,SRX2388436,SRR5068519
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830338,Peripheral Blood Mononuclear Cells,SRX2388437,SRR5068520
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830339,Peripheral Blood Mononuclear Cells,SRX2388438,SRR5068521
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830340,Peripheral Blood Mononuclear Cells,SRX2388439,SRR5068522
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830341,Peripheral Blood Mononuclear Cells,SRX2388440,SRR5068523
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830342,Peripheral Blood Mononuclear Cells,SRX2388441,SRR5068524
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830343,Peripheral Blood Mononuclear Cells,SRX2388442,SRR5068525
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830344,Peripheral Blood Mononuclear Cells,SRX2388443,SRR5068526
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830345,Peripheral Blood Mononuclear Cells,SRX2388444,SRR5068527
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830346,Peripheral Blood Mononuclear Cells,SRX2388445,SRR5068528
SRP094424,Induced Pluripotent Stem Cell Differentiation Provides an Approach for Functional Validation of GWAS Variants in Metabolic Disease,SRS1830347,Peripheral Blood Mononuclear Cells,SRX2388446,SRR5068529
