sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188429,ex.vivo.single.Tcell,SRX1461933,SRR2972565
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188433,ex.vivo.single.Tcell,SRX1461929,SRR2972561
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188435,ex.vivo.single.Tcell,SRX1461927,SRR2972559
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188436,ex.vivo.single.Tcell,SRX1461926,SRR2972558
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188360,ex.vivo.single.Tcell,SRX1461997,SRR2972629
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188440,ex.vivo.single.Tcell,SRX1461923,SRR2972555
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188526,ex.vivo.single.Tcell,SRX1461839,SRR2972470
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188346,ex.vivo.single.Tcell,SRX1462010,SRR2972642
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188439,ex.vivo.single.Tcell,SRX1461922,SRR2972554
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188515,ex.vivo.single.Tcell,SRX1461850,SRR2972481
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188443,ex.vivo.single.Tcell,SRX1461920,SRR2972552
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188339,ex.vivo.single.Tcell,SRX1462018,SRR2972650
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188449,ex.vivo.single.Tcell,SRX1461917,SRR2972549
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188551,ex.vivo.single.Tcell,SRX1461813,SRR2972444
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188450,ex.vivo.single.Tcell,SRX1461916,SRR2972548
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188604,ex.vivo.single.Tcell,SRX1461760,SRR2972391
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188452,ex.vivo.single.Tcell,SRX1461914,SRR2972546
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188324,ex.vivo.single.Tcell,SRX1462033,SRR2972665
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188454,ex.vivo.single.Tcell,SRX1461911,SRR2972543
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188461,ex.vivo.single.Tcell,SRX1461905,SRR2972537
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188462,ex.vivo.single.Tcell,SRX1461904,SRR2972536
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188571,ex.vivo.single.Tcell,SRX1461793,SRR2972424
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188354,ex.vivo.single.Tcell,SRX1462003,SRR2972635
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188465,ex.vivo.single.Tcell,SRX1461901,SRR2972533
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188466,ex.vivo.single.Tcell,SRX1461900,SRR2972532
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188467,ex.vivo.single.Tcell,SRX1461899,SRR2972531
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188431,ex.vivo.single.Tcell,SRX1461931,SRR2972563
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188277,ex.vivo.single.Tcell,SRX1462081,SRR2972714
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188468,ex.vivo.single.Tcell,SRX1461898,SRR2972530
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188574,ex.vivo.single.Tcell,SRX1461790,SRR2972421
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188335,ex.vivo.single.Tcell,SRX1462022,SRR2972654
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188434,ex.vivo.single.Tcell,SRX1461928,SRR2972560
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188323,ex.vivo.single.Tcell,SRX1462034,SRR2972666
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188470,ex.vivo.single.Tcell,SRX1461897,SRR2972529
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188471,ex.vivo.single.Tcell,SRX1461895,SRR2972527
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188472,ex.vivo.single.Tcell,SRX1461894,SRR2972526
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188457,ex.vivo.single.Tcell,SRX1461909,SRR2972541
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188348,ex.vivo.single.Tcell,SRX1462009,SRR2972641
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188474,ex.vivo.single.Tcell,SRX1461892,SRR2972524
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188477,ex.vivo.single.Tcell,SRX1461889,SRR2972521
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188479,ex.vivo.single.Tcell,SRX1461887,SRR2972519
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188487,ex.vivo.single.Tcell,SRX1461878,SRR2972510
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188473,ex.vivo.single.Tcell,SRX1461893,SRR2972525
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188528,ex.vivo.single.Tcell,SRX1461837,SRR2972468
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188610,ex.vivo.single.Tcell,SRX1461755,SRR2972386
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188480,ex.vivo.single.Tcell,SRX1461886,SRR2972518
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188481,ex.vivo.single.Tcell,SRX1461885,SRR2972517
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188385,ex.vivo.single.Tcell,SRX1461975,SRR2972607
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188383,ex.vivo.single.Tcell,SRX1461976,SRR2972608
SRP066963,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,SRS1188365,ex.vivo.single.Tcell,SRX1461993,SRR2972625
