sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453707,MSC,SRX1782729,SRR3555935
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453705,MSC,SRX1782728,SRR3555934
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453710,MSC,SRX1782733,SRR3555939
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453700,MSC,SRX1782723,SRR3555929
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453702,MSC,SRX1782726,SRR3555932
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453688,MSC,SRX1782711,SRR3555917
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453687,MSC,SRX1782710,SRR3555916
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453693,MSC,SRX1782714,SRR3555920
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453697,MSC,SRX1782718,SRR3555924
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453692,MSC,SRX1782716,SRR3555922
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453699,MSC,SRX1782721,SRR3555927
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453711,MSC,SRX1782734,SRR3555940
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453691,MSC,SRX1782715,SRR3555921
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453696,MSC,SRX1782719,SRR3555925
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453689,MSC,SRX1782712,SRR3555918
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453708,MSC,SRX1782731,SRR3555937
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453695,MSC,SRX1782720,SRR3555926
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453703,MSC,SRX1782725,SRR3555931
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453709,MSC,SRX1782732,SRR3555938
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453694,MSC,SRX1782717,SRR3555923
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453706,MSC,SRX1782730,SRR3555936
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453690,MSC,SRX1782713,SRR3555919
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453701,MSC,SRX1782724,SRR3555930
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453698,MSC,SRX1782722,SRR3555928
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453704,MSC,SRX1782727,SRR3555933
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453757,MSC,SRX1782780,SRR3555986
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453788,MSC,SRX1782812,SRR3556018
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453755,MSC,SRX1782779,SRR3555985
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453754,MSC,SRX1782777,SRR3555983
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453751,MSC,SRX1782774,SRR3555980
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453749,MSC,SRX1782772,SRR3555978
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453748,MSC,SRX1782771,SRR3555977
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453745,MSC,SRX1782770,SRR3555976
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453747,MSC,SRX1782768,SRR3555974
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453731,MSC,SRX1782756,SRR3555962
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453776,MSC,SRX1782799,SRR3556005
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453784,MSC,SRX1782808,SRR3556014
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453743,MSC,SRX1782766,SRR3555972
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453742,MSC,SRX1782765,SRR3555971
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453777,MSC,SRX1782802,SRR3556008
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453740,MSC,SRX1782764,SRR3555970
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453741,MSC,SRX1782763,SRR3555969
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453753,MSC,SRX1782776,SRR3555982
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453739,MSC,SRX1782762,SRR3555968
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453790,MSC,SRX1782811,SRR3556017
SRP075475,Multilineage communication regulates human liver bud self-organization from pluripotency I,SRS1453738,MSC,SRX1782761,SRR3555967
