sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP075496,Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns.,SRS1460545,Pancreatic islet,SRX1789762,SRR3564150
SRP075496,Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns.,SRS1460914,Pancreatic islet,SRX1790129,SRR3564517
SRP075496,Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns.,SRS1460931,Pancreatic islet,SRX1790150,SRR3564538
SRP075496,Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns.,SRS1460878,Pancreatic islet,SRX1790095,SRR3564483
SRP075496,Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns.,SRS1461144,Pancreatic islet,SRX1790363,SRR3564751
SRP075496,Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns.,SRS1460967,Pancreatic islet,SRX1790186,SRR3564574
SRP075496,Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns.,SRS1460876,Pancreatic islet,SRX1790092,SRR3564480
SRP075496,Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns.,SRS1461038,Pancreatic islet,SRX1790255,SRR3564643
SRP075496,Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns.,SRS1460279,Pancreatic islet,SRX1789497,SRR3563885
SRP075496,Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns.,SRS1460272,Pancreatic islet,SRX1789489,SRR3563877
SRP075496,Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns.,SRS1460269,Pancreatic islet,SRX1789486,SRR3563874
SRP075496,Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns.,SRS1459791,Pancreatic islet,SRX1789008,SRR3563396
SRP075496,Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns.,SRS1460251,Pancreatic islet,SRX1789469,SRR3563857
SRP075496,Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns.,SRS1459790,Pancreatic islet,SRX1789007,SRR3563395
