sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP068942,E2F1 orchestrates transcriptomics and oxidative metabolism in Whartonâ€™s jelly derived mesenchymal stem cells from growth-restricted neonates,SRS1265011,umbilical cord wharton's jelly,SRX1548249,SRR3126172
SRP068942,E2F1 orchestrates transcriptomics and oxidative metabolism in Whartonâ€™s jelly derived mesenchymal stem cells from growth-restricted neonates,SRS1265010,umbilical cord wharton's jelly,SRX1548250,SRR3126173
SRP068942,E2F1 orchestrates transcriptomics and oxidative metabolism in Whartonâ€™s jelly derived mesenchymal stem cells from growth-restricted neonates,SRS1265009,umbilical cord wharton's jelly,SRX1548251,SRR3126174
SRP068942,E2F1 orchestrates transcriptomics and oxidative metabolism in Whartonâ€™s jelly derived mesenchymal stem cells from growth-restricted neonates,SRS1265005,umbilical cord wharton's jelly,SRX1548255,SRR3126178
SRP068942,E2F1 orchestrates transcriptomics and oxidative metabolism in Whartonâ€™s jelly derived mesenchymal stem cells from growth-restricted neonates,SRS1265004,umbilical cord wharton's jelly,SRX1548256,SRR3126179
SRP068942,E2F1 orchestrates transcriptomics and oxidative metabolism in Whartonâ€™s jelly derived mesenchymal stem cells from growth-restricted neonates,SRS1265003,umbilical cord wharton's jelly,SRX1548257,SRR3126180
SRP068942,E2F1 orchestrates transcriptomics and oxidative metabolism in Whartonâ€™s jelly derived mesenchymal stem cells from growth-restricted neonates,SRS1264999,umbilical cord wharton's jelly,SRX1548261,SRR3126184
SRP068942,E2F1 orchestrates transcriptomics and oxidative metabolism in Whartonâ€™s jelly derived mesenchymal stem cells from growth-restricted neonates,SRS1264998,umbilical cord wharton's jelly,SRX1548263,SRR3126186
SRP068942,E2F1 orchestrates transcriptomics and oxidative metabolism in Whartonâ€™s jelly derived mesenchymal stem cells from growth-restricted neonates,SRS1264997,umbilical cord wharton's jelly,SRX1548262,SRR3126185
SRP068942,E2F1 orchestrates transcriptomics and oxidative metabolism in Whartonâ€™s jelly derived mesenchymal stem cells from growth-restricted neonates,SRS1265014,umbilical cord wharton's jelly,SRX1548246,SRR3126169
SRP068942,E2F1 orchestrates transcriptomics and oxidative metabolism in Whartonâ€™s jelly derived mesenchymal stem cells from growth-restricted neonates,SRS1265012,umbilical cord wharton's jelly,SRX1548247,SRR3126170
SRP068942,E2F1 orchestrates transcriptomics and oxidative metabolism in Whartonâ€™s jelly derived mesenchymal stem cells from growth-restricted neonates,SRS1265013,umbilical cord wharton's jelly,SRX1548248,SRR3126171
SRP068942,E2F1 orchestrates transcriptomics and oxidative metabolism in Whartonâ€™s jelly derived mesenchymal stem cells from growth-restricted neonates,SRS1265008,umbilical cord wharton's jelly,SRX1548252,SRR3126175
SRP068942,E2F1 orchestrates transcriptomics and oxidative metabolism in Whartonâ€™s jelly derived mesenchymal stem cells from growth-restricted neonates,SRS1265007,umbilical cord wharton's jelly,SRX1548253,SRR3126176
SRP068942,E2F1 orchestrates transcriptomics and oxidative metabolism in Whartonâ€™s jelly derived mesenchymal stem cells from growth-restricted neonates,SRS1265006,umbilical cord wharton's jelly,SRX1548254,SRR3126177
SRP068942,E2F1 orchestrates transcriptomics and oxidative metabolism in Whartonâ€™s jelly derived mesenchymal stem cells from growth-restricted neonates,SRS1265002,umbilical cord wharton's jelly,SRX1548258,SRR3126181
SRP068942,E2F1 orchestrates transcriptomics and oxidative metabolism in Whartonâ€™s jelly derived mesenchymal stem cells from growth-restricted neonates,SRS1265000,umbilical cord wharton's jelly,SRX1548260,SRR3126183
SRP068942,E2F1 orchestrates transcriptomics and oxidative metabolism in Whartonâ€™s jelly derived mesenchymal stem cells from growth-restricted neonates,SRS1265001,umbilical cord wharton's jelly,SRX1548259,SRR3126182
SRP013565,GSE35585: RIP-seq from ENCODE/SUNY Albany,SRS1816022,,SRX2370560,SRR5048185
SRP013565,GSE35585: RIP-seq from ENCODE/SUNY Albany,SRS1816023,,SRX2370561,SRR5048186
SRP022772,"miR-146a-5p circuitry uncouples cell proliferation and migration, but not differentiation, in human mesenchymal stem cells",SRS421343,Wharton's jelly of umbilical cord mesenchymal stem cells,SRX278450,SRR851713
