sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952993,platelet-like particle (PLP),SRX2532233,SRR5223056
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952988,platelet-like particle (PLP),SRX2532228,SRR5223051
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952989,platelet-like particle (PLP),SRX2532229,SRR5223052
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952987,platelet-like particle (PLP),SRX2532227,SRR5223050
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952995,platelet-like particle (PLP),SRX2532235,SRR5223058
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952986,platelet-like particle (PLP),SRX2532226,SRR5223049
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952984,platelet-like particle (PLP),SRX2532225,SRR5223048
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952992,platelet-like particle (PLP),SRX2532232,SRR5223055
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952994,platelet-like particle (PLP),SRX2532234,SRR5223057
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952985,platelet-like particle (PLP),SRX2532224,SRR5223047
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952990,platelet-like particle (PLP),SRX2532230,SRR5223053
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952991,platelet-like particle (PLP),SRX2532231,SRR5223054
SRP043033,GSE58310: Epigenetic programming during monocyte to macrophage differentiation and trained innate immunity,SRS630242,Macrophages(BC12),SRX581569,SRR1363145
SRP043033,GSE58310: Epigenetic programming during monocyte to macrophage differentiation and trained innate immunity,SRS630245,Macrophages(BC12),SRX581571,SRR1363147
SRP043033,GSE58310: Epigenetic programming during monocyte to macrophage differentiation and trained innate immunity,SRS630244,Macrophages(BC12),SRX581570,SRR1363146
SRP043033,GSE58310: Epigenetic programming during monocyte to macrophage differentiation and trained innate immunity,SRS630231,Macrophages(BC8),SRX581557,SRR1363133
SRP043033,GSE58310: Epigenetic programming during monocyte to macrophage differentiation and trained innate immunity,SRS630232,Macrophages(BC8),SRX581558,SRR1363134
SRP043033,GSE58310: Epigenetic programming during monocyte to macrophage differentiation and trained innate immunity,SRS630233,Macrophages(BC8),SRX581559,SRR1363135
SRP043033,GSE58310: Epigenetic programming during monocyte to macrophage differentiation and trained innate immunity,SRS630235,Macrophages(BC9),SRX581561,SRR1363137
SRP043033,GSE58310: Epigenetic programming during monocyte to macrophage differentiation and trained innate immunity,SRS630236,Macrophages(BC9),SRX581562,SRR1363138
SRP043033,GSE58310: Epigenetic programming during monocyte to macrophage differentiation and trained innate immunity,SRS630237,Macrophages(BC9),SRX581563,SRR1363139
SRP043033,GSE58310: Epigenetic programming during monocyte to macrophage differentiation and trained innate immunity,SRS630241,Primary Monocytes(BC12),SRX581568,SRR1363144
SRP043033,GSE58310: Epigenetic programming during monocyte to macrophage differentiation and trained innate immunity,SRS630229,Primary Monocytes(BC8),SRX581556,SRR1363132
SRP043033,GSE58310: Epigenetic programming during monocyte to macrophage differentiation and trained innate immunity,SRS630234,Primary Monocytes(BC9),SRX581560,SRR1363136
ERP020771,"RNA-seq analysis of neutrophils from CD40L-deficient patients and healthy controls, as well as HL-60 promielocytic cell line",ERS1497407,,ERX1842516,ERR1777656
ERP020771,"RNA-seq analysis of neutrophils from CD40L-deficient patients and healthy controls, as well as HL-60 promielocytic cell line",ERS1497408,,ERX1842517,ERR1777657
ERP020771,"RNA-seq analysis of neutrophils from CD40L-deficient patients and healthy controls, as well as HL-60 promielocytic cell line",ERS1497410,,ERX1842519,ERR1777659
ERP020771,"RNA-seq analysis of neutrophils from CD40L-deficient patients and healthy controls, as well as HL-60 promielocytic cell line",ERS1497411,,ERX1842520,ERR1777660
ERP020771,"RNA-seq analysis of neutrophils from CD40L-deficient patients and healthy controls, as well as HL-60 promielocytic cell line",ERS1497403,,ERX1842512,ERR1777652
ERP020771,"RNA-seq analysis of neutrophils from CD40L-deficient patients and healthy controls, as well as HL-60 promielocytic cell line",ERS1497400,,ERX1842509,ERR1777649
ERP020771,"RNA-seq analysis of neutrophils from CD40L-deficient patients and healthy controls, as well as HL-60 promielocytic cell line",ERS1497405,,ERX1842514,ERR1777654
ERP020771,"RNA-seq analysis of neutrophils from CD40L-deficient patients and healthy controls, as well as HL-60 promielocytic cell line",ERS1497404,,ERX1842513,ERR1777653
ERP020771,"RNA-seq analysis of neutrophils from CD40L-deficient patients and healthy controls, as well as HL-60 promielocytic cell line",ERS1497401,,ERX1842510,ERR1777650
ERP020771,"RNA-seq analysis of neutrophils from CD40L-deficient patients and healthy controls, as well as HL-60 promielocytic cell line",ERS1497402,,ERX1842511,ERR1777651
SRP067960,Trascriptome of thyroid cancer-induced macrophages,SRS1229902,macrophage,SRX1509588,SRR3068613
