sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP041620,An activating NLRC4 inflammasome mutation causes autoinflammation with recurrent macrophage activation syndrome,SRS600273,NOMID patients with active disease prior to anakinra treatment,SRX531051,SRR1268066
SRP041620,An activating NLRC4 inflammasome mutation causes autoinflammation with recurrent macrophage activation syndrome,SRS600272,NOMID patients with active disease prior to anakinra treatment,SRX531050,SRR1268065
SRP041620,An activating NLRC4 inflammasome mutation causes autoinflammation with recurrent macrophage activation syndrome,SRS600270,NOMID patients with active disease prior to anakinra treatment,SRX531048,SRR1268063
SRP041620,An activating NLRC4 inflammasome mutation causes autoinflammation with recurrent macrophage activation syndrome,SRS600276,NOMID patients with active disease prior to anakinra treatment,SRX531054,SRR1268069
SRP041620,An activating NLRC4 inflammasome mutation causes autoinflammation with recurrent macrophage activation syndrome,SRS600275,NOMID patients with active disease prior to anakinra treatment,SRX531053,SRR1268068
SRP041620,An activating NLRC4 inflammasome mutation causes autoinflammation with recurrent macrophage activation syndrome,SRS600274,NOMID patients with active disease prior to anakinra treatment,SRX531052,SRR1268067
SRP041620,An activating NLRC4 inflammasome mutation causes autoinflammation with recurrent macrophage activation syndrome,SRS600271,NOMID patients with active disease prior to anakinra treatment,SRX531049,SRR1268064
SRP041620,An activating NLRC4 inflammasome mutation causes autoinflammation with recurrent macrophage activation syndrome,SRS600279,NOMID patients with inactive disease after anakinra treatment,SRX531057,SRR1268072
SRP041620,An activating NLRC4 inflammasome mutation causes autoinflammation with recurrent macrophage activation syndrome,SRS600278,NOMID patients with inactive disease after anakinra treatment,SRX531056,SRR1268071
SRP041620,An activating NLRC4 inflammasome mutation causes autoinflammation with recurrent macrophage activation syndrome,SRS600282,NOMID patients with inactive disease after anakinra treatment,SRX531060,SRR1268075
SRP041620,An activating NLRC4 inflammasome mutation causes autoinflammation with recurrent macrophage activation syndrome,SRS600281,NOMID patients with inactive disease after anakinra treatment,SRX531059,SRR1268074
SRP041620,An activating NLRC4 inflammasome mutation causes autoinflammation with recurrent macrophage activation syndrome,SRS600277,NOMID patients with inactive disease after anakinra treatment,SRX531055,SRR1268070
SRP041620,An activating NLRC4 inflammasome mutation causes autoinflammation with recurrent macrophage activation syndrome,SRS600280,NOMID patients with inactive disease after anakinra treatment,SRX531058,SRR1268073
SRP041620,An activating NLRC4 inflammasome mutation causes autoinflammation with recurrent macrophage activation syndrome,SRS600283,NOMID patients with inactive disease after anakinra treatment,SRX531061,SRR1268076
SRP075940,Effects on siProx1 and siTie2 in HDLEC,SRS1475964,,SRX1812730,SRR3614185
SRP075940,Effects on siProx1 and siTie2 in HDLEC,SRS1476024,,SRX1812846,SRR3614198
SRP075940,Effects on siProx1 and siTie2 in HDLEC,SRS1476022,,SRX1812844,SRR3614196
SRP075940,Effects on siProx1 and siTie2 in HDLEC,SRS1476028,,SRX1812850,SRR3614201
SRP075940,Effects on siProx1 and siTie2 in HDLEC,SRS1476023,,SRX1812845,SRR3614197
SRP075940,Effects on siProx1 and siTie2 in HDLEC,SRS1476029,,SRX1812851,SRR3614212
SRP075940,Effects on siProx1 and siTie2 in HDLEC,SRS1476027,,SRX1812849,SRR3614200
SRP075940,Effects on siProx1 and siTie2 in HDLEC,SRS1476026,,SRX1812848,SRR3614199
SRP075940,Effects on siProx1 and siTie2 in HDLEC,SRS1476020,,SRX1812842,SRR3614194
SRP065120,Homo sapiens Raw sequence reads,SRS1128320,,SRX1366395,SRR2761216
SRP065120,Homo sapiens Raw sequence reads,SRS1128620,,SRX1366805,SRR2761449
SRP065120,Homo sapiens Raw sequence reads,SRS1128624,,SRX1366807,SRR2761451
SRP065120,Homo sapiens Raw sequence reads,SRS1128395,,SRX1366622,SRR2761446
SRP065120,Homo sapiens Raw sequence reads,SRS1128611,,SRX1366803,SRR2761447
SRP066484,Homo sapiens strain:KSHV Transcriptome or Gene expression,SRS1171427,,SRX1441469,SRR2938852
SRP066484,Homo sapiens strain:KSHV Transcriptome or Gene expression,SRS1171427,,SRX1441469,SRR2938886
