sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890372,,SRX2457133,SRR5137845
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890350,,SRX2457111,SRR5137823
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890401,,SRX2457162,SRR5137874
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890399,,SRX2457160,SRR5137872
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890353,,SRX2457114,SRR5137826
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890460,,SRX2457221,SRR5137933
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890342,,SRX2457103,SRR5137815
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890534,,SRX2457295,SRR5138007
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890471,,SRX2457232,SRR5137944
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890501,,SRX2457262,SRR5137974
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890445,,SRX2457206,SRR5137918
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890341,,SRX2457102,SRR5137814
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890492,,SRX2457253,SRR5137965
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890423,,SRX2457184,SRR5137896
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890429,,SRX2457189,SRR5137901
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890455,,SRX2457216,SRR5137928
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890360,,SRX2457121,SRR5137833
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890364,,SRX2457125,SRR5137837
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890428,,SRX2457190,SRR5137902
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890434,,SRX2457197,SRR5137909
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890414,,SRX2457175,SRR5137887
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890380,,SRX2457141,SRR5137853
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890390,,SRX2457151,SRR5137863
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890389,,SRX2457150,SRR5137862
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890523,,SRX2457284,SRR5137996
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890417,,SRX2457178,SRR5137890
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890450,,SRX2457211,SRR5137923
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890496,,SRX2457257,SRR5137969
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890362,,SRX2457123,SRR5137835
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890475,,SRX2457237,SRR5137949
SRP095910,Homo sapiens Transcriptome or Gene expression,SRS1890540,,SRX2457301,SRR5138013
