sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952993,platelet-like particle (PLP),SRX2532233,SRR5223056
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952988,platelet-like particle (PLP),SRX2532228,SRR5223051
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952989,platelet-like particle (PLP),SRX2532229,SRR5223052
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952987,platelet-like particle (PLP),SRX2532227,SRR5223050
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952995,platelet-like particle (PLP),SRX2532235,SRR5223058
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952986,platelet-like particle (PLP),SRX2532226,SRR5223049
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952984,platelet-like particle (PLP),SRX2532225,SRR5223048
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952992,platelet-like particle (PLP),SRX2532232,SRR5223055
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952994,platelet-like particle (PLP),SRX2532234,SRR5223057
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952985,platelet-like particle (PLP),SRX2532224,SRR5223047
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952990,platelet-like particle (PLP),SRX2532230,SRR5223053
SRP098699,RNA sequencing of primary human platelets and in vitro cell lines,SRS1952991,platelet-like particle (PLP),SRX2532231,SRR5223054
