sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662506,,ERX1981949,ERR1924222
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662507,,ERX1981950,ERR1924223
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662508,,ERX1981951,ERR1924224
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662509,,ERX1981952,ERR1924225
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662510,,ERX1981953,ERR1924226
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662511,,ERX1981954,ERR1924227
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662521,,ERX1981964,ERR1924237
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662522,,ERX1981965,ERR1924238
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662523,,ERX1981966,ERR1924239
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662528,,ERX1981970,ERR1924243
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662529,,ERX1981971,ERR1924244
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662530,,ERX1981972,ERR1924245
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662524,,ERX1981967,ERR1924240
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662525,,ERX1981968,ERR1924241
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662526,,ERX1981969,ERR1924242
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662531,,ERX1981973,ERR1924246
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662532,,ERX1981974,ERR1924247
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662533,,ERX1981975,ERR1924248
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662518,,ERX1981961,ERR1924234
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662516,,ERX1981959,ERR1924232
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662520,,ERX1981963,ERR1924236
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662519,,ERX1981962,ERR1924235
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662515,,ERX1981958,ERR1924231
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662517,,ERX1981960,ERR1924233
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662512,,ERX1981955,ERR1924228
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662514,,ERX1981957,ERR1924230
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662513,,ERX1981956,ERR1924229
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021925,hPSCs_naÃ¯ve_control_1,SRX2600804,SRR5298661
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021925,hPSCs_naÃ¯ve_control_1,SRX2600804,SRR5298662
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021925,hPSCs_naÃ¯ve_control_1,SRX2600804,SRR5298663
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021925,hPSCs_naÃ¯ve_control_1,SRX2600804,SRR5298664
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021925,hPSCs_naÃ¯ve_control_1,SRX2600804,SRR5298665
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021925,hPSCs_naÃ¯ve_control_1,SRX2600804,SRR5298666
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021925,hPSCs_naÃ¯ve_control_1,SRX2600804,SRR5298667
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021928,hPSCs_naÃ¯ve_control_1,SRX2600805,SRR5298668
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021928,hPSCs_naÃ¯ve_control_1,SRX2600805,SRR5298669
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021928,hPSCs_naÃ¯ve_control_1,SRX2600805,SRR5298670
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021928,hPSCs_naÃ¯ve_control_1,SRX2600805,SRR5298671
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021928,hPSCs_naÃ¯ve_control_1,SRX2600805,SRR5298672
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021928,hPSCs_naÃ¯ve_control_1,SRX2600805,SRR5298673
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021928,hPSCs_naÃ¯ve_control_1,SRX2600805,SRR5298674
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021929,hPSCs_naÃ¯ve_control_2,SRX2600806,SRR5298675
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021929,hPSCs_naÃ¯ve_control_2,SRX2600806,SRR5298676
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021929,hPSCs_naÃ¯ve_control_2,SRX2600806,SRR5298677
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021929,hPSCs_naÃ¯ve_control_2,SRX2600806,SRR5298678
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021929,hPSCs_naÃ¯ve_control_2,SRX2600806,SRR5298679
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021926,hPSCs_naÃ¯ve_control_2,SRX2600807,SRR5298680
SRP100928,Lineage specific differentiation is influenced by state of human pluripotency [RNA-seq],SRS2021926,hPSCs_naÃ¯ve_control_2,SRX2600807,SRR5298681
