sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662506,,ERX1981949,ERR1924222
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662507,,ERX1981950,ERR1924223
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662508,,ERX1981951,ERR1924224
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662509,,ERX1981952,ERR1924225
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662510,,ERX1981953,ERR1924226
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662511,,ERX1981954,ERR1924227
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662521,,ERX1981964,ERR1924237
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662522,,ERX1981965,ERR1924238
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662523,,ERX1981966,ERR1924239
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662528,,ERX1981970,ERR1924243
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662529,,ERX1981971,ERR1924244
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662530,,ERX1981972,ERR1924245
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662524,,ERX1981967,ERR1924240
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662525,,ERX1981968,ERR1924241
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662526,,ERX1981969,ERR1924242
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662531,,ERX1981973,ERR1924246
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662532,,ERX1981974,ERR1924247
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662533,,ERX1981975,ERR1924248
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662518,,ERX1981961,ERR1924234
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662516,,ERX1981959,ERR1924232
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662520,,ERX1981963,ERR1924236
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662519,,ERX1981962,ERR1924235
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662515,,ERX1981958,ERR1924231
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662517,,ERX1981960,ERR1924233
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662512,,ERX1981955,ERR1924228
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662514,,ERX1981957,ERR1924230
ERP022538,RNA-seq of chemically reset human naive pluripotent stem cells,ERS1662513,,ERX1981956,ERR1924229
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228934,"airway basal cells, nonsmoker",SRX1508445,SRR3066488
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228934,"airway basal cells, nonsmoker",SRX1508445,SRR3066489
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228934,"airway basal cells, nonsmoker",SRX1508445,SRR3066490
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228929,"airway basal cells, nonsmoker",SRX1508450,SRR3066503
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228929,"airway basal cells, nonsmoker",SRX1508450,SRR3066504
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228929,"airway basal cells, nonsmoker",SRX1508450,SRR3066505
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228932,"airway basal cells, nonsmoker",SRX1508447,SRR3066494
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228932,"airway basal cells, nonsmoker",SRX1508447,SRR3066495
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228932,"airway basal cells, nonsmoker",SRX1508447,SRR3066496
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228933,"airway basal cells, nonsmoker",SRX1508446,SRR3066491
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228933,"airway basal cells, nonsmoker",SRX1508446,SRR3066492
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228933,"airway basal cells, nonsmoker",SRX1508446,SRR3066493
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228935,"airway basal cells, nonsmoker",SRX1508444,SRR3066485
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228935,"airway basal cells, nonsmoker",SRX1508444,SRR3066486
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228935,"airway basal cells, nonsmoker",SRX1508444,SRR3066487
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228931,"airway basal cells, nonsmoker",SRX1508448,SRR3066497
SRP067922,Role of OSGIN1 in Mediating Smoking-induced Autophagy in the Human Airway Epithelium [RNA-Seq],SRS1228931,"airway basal cells, nonsmoker",SRX1508448,SRR3066498
