sra_study_id,study_title,sra_sample_id,sample_name,sra_experiment_id,sra_run_id
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661716
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661717
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661718
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661719
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661720
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661721
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661722
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661723
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661724
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661725
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661726
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661727
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661728
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661729
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661730
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661731
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661732
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661733
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661734
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751946,normal thymus,SRX767300,SRR1661735
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661736
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661737
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661738
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661739
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661740
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661741
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661742
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661743
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661744
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661745
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661746
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661747
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661748
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661749
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661750
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661751
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661752
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661753
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661754
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661755
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661756
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661757
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661758
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661759
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661760
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661761
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661762
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661763
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661764
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751947,normal thymus,SRX767301,SRR1661765
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661766
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661767
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661768
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661769
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661770
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661771
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661772
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661773
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661774
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661775
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661776
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661777
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661778
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661779
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661780
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661781
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661782
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661783
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661784
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661785
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661786
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661787
SRP050223,Characterization of a network of tumor suppressor microRNA''s in T Cell acute lymphoblastic leukemia,SRS751948,normal thymus,SRX767302,SRR1661788
