"cx","paired","gtex","paired","gtex","sra_adult;developmental","unexplained","sra_stemcells;sra_adult;sra_placenta","sra_stemcells;sra_adult;developmental","sra_adult","developmental","sra_stemcells;sra_adult","sra_stemcells","sra_adult;sra_placenta","sra_stemcells;developmental","sra_placenta","sra_stemcells;sra_placenta","other","all"
"Acute_Myeloid_Leukemia","1138026","607335","427768","427768","60718","427768","204","3786","114616","44684","2477","3792","1202","767","789","21","660824","2406185"
"Adrenocortical_Carcinoma","0","941404","22053","22053","1947","22053","14","175","5398","2156","139","256","157","65","143","5","32508","973912"
"Bladder_Urothelial_Carcinoma","665025","1736724","155124","155124","14701","155124","255","1924","39481","15531","1582","2504","931","758","1277","86","234154","2635903"
"Brain_Lower_Grade_Glioma","2243138","604188","165091","165091","15672","165091","72","1210","45529","18564","1140","2539","470","581","562","9","251439","3098765"
"Breast_Invasive_Carcinoma","1937478","2075580","441104","441104","39669","441104","410","4024","120684","41001","3343","5891","1976","1529","2225","100","661956","4675014"
"Cervical_Squamous_Cell_Carcinoma_and_Endocervical_Adenocarcinoma","260438","1888245","111091","111091","11262","111091","94","1389","31162","11212","1240","1824","478","499","604","38","170893","2319576"
"Cholangiocarcinoma","559054","195112","8399","8399","833","8399","8","101","2700","829","97","143","51","23","46","2","13232","767398"
"Colon_Adenocarcinoma","1447419","781411","155589","155589","18123","155589","279","2110","41839","18382","1465","2166","1172","640","837","35","242637","2471467"
"Esophageal_Carcinoma","2298165","1640989","1039014","1039014","104413","1039014","625","7869","226778","107578","6045","10980","3621","2685","3055","148","1512811","5451965"
"Glioblastoma_Multiforme","1930725","437838","75111","75111","8632","75111","78","956","24411","11276","752","1574","325","432","483","18","124048","2492611"
"Head_and_Neck_Squamous_Cell_Carcinoma","1892407","679460","177027","177027","17073","177027","169","2226","49815","17412","2019","3278","805","863","974","69","271730","2843597"
"Kidney_Chromophobe","664804","377397","28961","28961","2593","28961","14","219","7577","2769","219","392","156","89","214","9","43212","1085413"
"Kidney_Renal_Clear_Cell_Carcinoma","1209558","1715900","197822","197822","21040","197822","198","1688","67678","19957","1660","2563","1171","564","981","33","315355","3240813"
"Kidney_Renal_Papillary_Cell_Carcinoma","900875","995796","85284","85284","7663","85284","48","612","24050","7723","541","1009","325","235","411","11","127912","2024583"
"Liver_Hepatocellular_Carcinoma","1020442","869537","91086","91086","8129","91086","88","877","33538","8415","743","1126","496","331","527","29","145385","2035364"
"Lung_Adenocarcinoma","1798625","1091992","229442","229442","22117","229442","274","2647","67005","21564","2116","3424","1132","889","1321","74","352005","3242622"
"Lung_Squamous_Cell_Carcinoma","1824999","1193233","212501","212501","22657","212501","226","3028","62797","24481","2484","4200","1109","1317","1496","87","336383","3354615"
"Lymphoid_Neoplasm_Diffuse_Large_B_cell_Lymphoma","0","793306","16201","16201","2024","16201","42","186","7298","1666","134","202","167","70","65","5","28060","821366"
"Mesothelioma","924812","225835","27214","27214","2760","27214","35","388","7802","2750","262","473","140","117","189","4","42134","1192781"
"Ovarian_Serous_Cystadenocarcinoma","1319722","3772936","2739236","2739236","153583","2739236","609","9092","367947","232867","7597","19584","3910","4266","4759","182","3543632","8636290"
"Pancreatic_Adenocarcinoma","925750","668029","49429","49429","4710","49429","39","463","15023","4656","446","686","173","179","241","11","76056","1669835"
"Pheochromocytoma_and_Paraganglioma","1026227","453856","53453","53453","4557","53453","24","363","13554","5608","293","679","294","148","242","5","79220","1559303"
"Prostate_Adenocarcinoma","1307557","1115552","159220","159220","13154","159220","120","1129","39625","14375","1022","1850","566","372","590","35","232058","2655167"
"Rectum_Adenocarcinoma","1036414","345208","42408","42408","6482","42408","89","707","13721","6160","459","711","365","221","299","13","71635","1453257"
"Sarcoma","1175064","810760","77762","77762","8045","77762","57","976","21513","9421","660","1326","420","351","512","22","121065","2106889"
"Skin_Cutaneous_Melanoma","1784018","709033","148206","148206","15654","148206","126","1703","43071","15810","1296","2290","594","641","883","42","230316","2723367"
"Stomach_Adenocarcinoma","1972253","2872142","1787745","1787745","140054","1787745","763","9575","331502","164859","7870","15310","5082","3592","4274","197","2470823","7315218"
"Testicular_Germ_Cell_Tumors","1237998","389331","49836","49836","6767","49836","188","2796","14499","10026","1393","3230","384","1725","585","99","91528","1718857"
"Thymoma","292715","1071739","40450","40450","5258","40450","52","585","13430","4384","444","757","169","287","208","13","66037","1430491"
"Thyroid_Carcinoma","1689929","811366","147977","147977","12608","147977","51","895","39340","13028","907","1813","484","385","692","19","218199","2719494"
"Uterine_Carcinosarcoma","644516","348498","22474","22474","2276","22474","28","352","5045","2987","212","406","149","177","146","18","34270","1027284"
"Uterine_Corpus_Endometrial_Carcinoma","1115022","1384319","155889","155889","18667","155889","298","2150","46638","18729","1516","2476","1477","688","1117","62","249707","2749048"
