"cx","paired","gtex","paired","gtex","sra_adult;developmental","unexplained","sra_stemcells;sra_adult;sra_placenta","sra_stemcells;sra_adult;developmental","sra_adult","developmental","sra_adult;sra_placenta","sra_stemcells;sra_adult","sra_stemcells","sra_stemcells;developmental","sra_placenta","sra_stemcells;sra_placenta","other","all"
"Acute_Myeloid_Leukemia","1138026","607335","492173","492173","31772","492173","108","1591","107223","22822","813","1461","2103","286","458","14","660824","2406185"
"Adrenocortical_Carcinoma","0","941404","25652","25652","634","25652","7","84","4805","653","125","128","284","31","102","3","32508","973912"
"Bladder_Urothelial_Carcinoma","665025","1736724","180951","180951","5411","180951","174","992","34519","5845","593","1486","2935","379","792","77","234154","2635903"
"Brain_Lower_Grade_Glioma","2243138","604188","197215","197215","4834","197215","42","500","39331","5112","282","930","2629","267","287","10","251439","3098765"
"Breast_Invasive_Carcinoma","1937478","2075580","514949","514949","12970","514949","271","1758","106408","13184","1111","2963","6208","737","1326","71","661956","4675014"
"Cervical_Squamous_Cell_Carcinoma_and_Endocervical_Adenocarcinoma","260438","1888245","131708","131708","3744","131708","66","699","26263","4078","268","1094","2244","249","454","26","170893","2319576"
"Cholangiocarcinoma","559054","195112","9889","9889","268","9889","6","54","2421","261","35","96","159","9","34","0","13232","767398"
"Colon_Adenocarcinoma","1447419","781411","182623","182623","7913","182623","173","1006","37638","7965","842","1290","2335","293","537","22","242637","2471467"
"Esophageal_Carcinoma","2298165","1640989","1193014","1193014","49736","1193014","345","3344","200101","47944","2230","4331","8791","1039","1838","98","1512811","5451965"
"Glioblastoma_Multiforme","1930725","437838","93286","93286","2925","93286","57","450","20701","3562","187","671","1750","187","261","11","124048","2492611"
"Head_and_Neck_Squamous_Cell_Carcinoma","1892407","679460","210202","210202","5641","210202","110","1043","41479","5948","448","1866","3919","445","578","51","271730","2843597"
"Kidney_Chromophobe","664804","377397","33840","33840","855","33840","12","101","6626","868","90","181","434","41","159","5","43212","1085413"
"Kidney_Renal_Clear_Cell_Carcinoma","1209558","1715900","235503","235503","6962","235503","115","715","60463","6149","689","1271","2617","279","564","28","315355","3240813"
"Kidney_Renal_Papillary_Cell_Carcinoma","900875","995796","99595","99595","2453","99595","33","268","21136","2367","169","475","1053","103","250","10","127912","2024583"
"Liver_Hepatocellular_Carcinoma","1020442","869537","104864","104864","2868","104864","64","439","31414","2856","335","735","1304","192","293","21","145385","2035364"
"Lung_Adenocarcinoma","1798625","1091992","268524","268524","8040","268524","194","1280","58997","7591","665","1879","3516","444","817","58","352005","3242622"
"Lung_Squamous_Cell_Carcinoma","1824999","1193233","252917","252917","8096","252917","142","1469","54711","9224","703","2375","5063","670","947","66","336383","3354615"
"Lymphoid_Neoplasm_Diffuse_Large_B_cell_Lymphoma","0","793306","18871","18871","777","18871","10","93","7122","632","126","133","233","28","33","2","28060","821366"
"Mesothelioma","924812","225835","32234","32234","943","32234","23","209","6778","949","68","233","493","54","147","3","42134","1192781"
"Ovarian_Serous_Cystadenocarcinoma","1319722","3772936","3044437","3044437","65632","3044437","368","3694","307206","95445","2488","5333","14452","1536","2925","116","3543632","8636290"
"Pancreatic_Adenocarcinoma","925750","668029","58659","58659","1453","58659","28","193","12746","1477","103","380","771","84","154","8","76056","1669835"
"Pheochromocytoma_and_Paraganglioma","1026227","453856","63165","63165","1456","63165","13","145","11308","1755","196","252","700","80","145","5","79220","1559303"
"Prostate_Adenocarcinoma","1307557","1115552","184816","184816","4236","184816","78","478","34308","4534","301","849","1930","168","339","21","232058","2655167"
"Rectum_Adenocarcinoma","1036414","345208","51574","51574","2872","51574","41","353","12312","2621","308","424","829","115","176","10","71635","1453257"
"Sarcoma","1175064","810760","92982","92982","2724","92982","31","450","18881","3179","267","603","1400","181","353","14","121065","2106889"
"Skin_Cutaneous_Melanoma","1784018","709033","176339","176339","5049","176339","84","799","37757","5221","343","1250","2566","315","556","37","230316","2723367"
"Stomach_Adenocarcinoma","1972253","2872142","2020588","2020588","62960","2020588","421","3806","289296","69873","3020","5410","11471","1311","2544","123","2470823","7315218"
"Testicular_Germ_Cell_Tumors","1237998","389331","61194","61194","2783","61194","133","1818","13597","4468","281","1743","4113","921","391","86","91528","1718857"
"Thymoma","292715","1071739","47915","47915","1798","47915","37","308","12588","1656","98","442","898","148","137","12","66037","1430491"
"Thyroid_Carcinoma","1689929","811366","172619","172619","3890","172619","23","341","33971","3782","269","796","1872","147","472","17","218199","2719494"
"Uterine_Carcinosarcoma","644516","348498","26470","26470","809","26470","21","179","4569","1166","107","233","475","120","106","15","34270","1027284"
"Uterine_Corpus_Endometrial_Carcinoma","1115022","1384319","185416","185416","7616","185416","183","1029","41932","7433","913","1372","2713","382","674","44","249707","2749048"
"Uveal_Melanoma","0","849072","19625","19625","591","19625","12","53","4281","525","26","129","261","18","59","0","25580","874652"
